"aq_id","CC","CountryName","countries","code","name","IGRAC.region","Comment"
41,"UGA","Uganda","Rwanda; Uganda; United Republic of Tanzania","AF036","Kagera Aquifer","Africa","Original IGRAC entry"
45,"KEN","Kenya","Kenya; Somalia","AF038","Merti Aquifer","Africa","Original IGRAC entry"
45,"SOM","Somalia","Kenya; Somalia","AF038","Merti Aquifer","Africa","Original IGRAC entry"
46,"KEN","Kenya","Kenya; Uganda","AF039","Mount Elgon Aquifer","Africa","Original IGRAC entry"
46,"UGA","Uganda","Kenya; Uganda","AF039","Mount Elgon Aquifer","Africa","Original IGRAC entry"
225,"COG","Congo, Rep of the","Congo; Gabon","AF040","Aquifère nord-ouest Sangha","Africa","Added to IGRAC"
225,"GAB","Gabon","Congo; Gabon","AF040","Aquifère nord-ouest Sangha","Africa","Original IGRAC entry"
228,"CMR","Cameroon","Cameroon; Nigeria","AF042","Rio del Rey","Africa","Original IGRAC entry"
228,"NGA","Nigeria","Cameroon; Nigeria","AF042","Rio del Rey","Africa","Original IGRAC entry"
236,"ETH","Ethiopia","Ethiopia; Kenya; Somalia","AF043","Dawa","Africa","Original IGRAC entry"
236,"KEN","Kenya","Ethiopia; Kenya; Somalia","AF043","Dawa","Africa","Original IGRAC entry"
236,"SOM","Somalia","Ethiopia; Kenya; Somalia","AF043","Dawa","Africa","Original IGRAC entry"
234,"ETH","Ethiopia","Ethiopia; Somalia","AF044","Jubba","Africa","Original IGRAC entry"
234,"SOM","Somalia","Ethiopia; Somalia","AF044","Jubba","Africa","Original IGRAC entry"
235,"ETH","Ethiopia","Ethiopia; Somalia","AF045","Shebelle / Shabelle","Africa","Original IGRAC entry"
235,"SOM","Somalia","Ethiopia; Somalia","AF045","Shebelle / Shabelle","Africa","Original IGRAC entry"
311,"ETH","Ethiopia","Ethiopia; Kenya; South Sudan","AF046","Sudd Basin","Africa","Original IGRAC entry"
311,"KEN","Kenya","Ethiopia; Kenya; South Sudan","AF046","Sudd Basin","Africa","Original IGRAC entry"
311,"SDN","Sudan","Ethiopia; Kenya; South Sudan","AF046","Sudd Basin","Africa","Original IGRAC entry"
311,"SSD","South Sudan","Ethiopia; Kenya; South Sudan","AF046","Sudd Basin","Africa","Original IGRAC entry"
224,"CIV","Cote d'Ivoire","Côte d’Ivoire; Ghana","AF047","Bassin sédimentaire côtier / Tano Basin","Africa","Added to IGRAC"
224,"GHA","Ghana","Côte d’Ivoire; Ghana","AF047","Bassin sédimentaire côtier / Tano Basin","Africa","Original IGRAC entry"
229,"BEN","Benin","Benin; Ghana; Nigeria; Togo","AF048","Keta Basin, Coastal Sedimentary Basin / Bassin de Keta, Bassin Sédimentaire Côtier","Africa","Original IGRAC entry"
229,"GHA","Ghana","Benin; Ghana; Nigeria; Togo","AF048","Keta Basin, Coastal Sedimentary Basin / Bassin de Keta, Bassin Sédimentaire Côtier","Africa","Original IGRAC entry"
229,"NGA","Nigeria","Benin; Ghana; Nigeria; Togo","AF048","Keta Basin, Coastal Sedimentary Basin / Bassin de Keta, Bassin Sédimentaire Côtier","Africa","Original IGRAC entry"
229,"TGO","Togo","Benin; Ghana; Nigeria; Togo","AF048","Keta Basin, Coastal Sedimentary Basin / Bassin de Keta, Bassin Sédimentaire Côtier","Africa","Original IGRAC entry"
227,"CMR","Cameroon","Cameroon; Nigeria","AF051","Benue River sedimentary basin / Bassin sédimentaire de la Benoué","Africa","Original IGRAC entry"
227,"NGA","Nigeria","Cameroon; Nigeria","AF051","Benue River sedimentary basin / Bassin sédimentaire de la Benoué","Africa","Original IGRAC entry"
44,"CAF","Central African Rep","Algeria; Cameroon; Central African Republic; Chad; Niger; Nigeria","AF052","Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad","Africa","Original IGRAC entry"
44,"CMR","Cameroon","Algeria; Cameroon; Central African Republic; Chad; Niger; Nigeria","AF052","Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad","Africa","Original IGRAC entry"
44,"DZA","Algeria","Algeria; Cameroon; Central African Republic; Chad; Niger; Nigeria","AF052","Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad","Africa","Original IGRAC entry"
44,"LBY","Libya","Algeria; Cameroon; Central African Republic; Chad; Niger; Nigeria","AF052","Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad","Africa","Discarded: BorderResolution"
44,"NER","Niger","Algeria; Cameroon; Central African Republic; Chad; Niger; Nigeria","AF052","Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad","Africa","Original IGRAC entry"
44,"NGA","Nigeria","Algeria; Cameroon; Central African Republic; Chad; Niger; Nigeria","AF052","Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad","Africa","Original IGRAC entry"
44,"SDN","Sudan","Algeria; Cameroon; Central African Republic; Chad; Niger; Nigeria","AF052","Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad","Africa","Added to IGRAC"
44,"SSD","South Sudan","Algeria; Cameroon; Central African Republic; Chad; Niger; Nigeria","AF052","Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad","Africa","Discarded: BorderResolution"
44,"TCD","Chad","Algeria; Cameroon; Central African Republic; Chad; Niger; Nigeria","AF052","Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad","Africa","Original IGRAC entry"
296,"111","Abyei","Central African Republic; South Sudan; Sudan","AF053","Baggara Basin","Africa","Discarded: disputed"
296,"CAF","Central African Rep","Central African Republic; South Sudan; Sudan","AF053","Baggara Basin","Africa","Original IGRAC entry"
296,"SDN","Sudan","Central African Republic; South Sudan; Sudan","AF053","Baggara Basin","Africa","Original IGRAC entry"
296,"SSD","South Sudan","Central African Republic; South Sudan; Sudan","AF053","Baggara Basin","Africa","Original IGRAC entry"
312,"122","Koualou","Benin; Burkina Faso; Ghana; Niger; Togo","AF054","Volta Basin","Africa","Discarded: disputed"
312,"BEN","Benin","Benin; Burkina Faso; Ghana; Niger; Togo","AF054","Volta Basin","Africa","Original IGRAC entry"
312,"BFA","Burkina Faso","Benin; Burkina Faso; Ghana; Niger; Togo","AF054","Volta Basin","Africa","Original IGRAC entry"
312,"GHA","Ghana","Benin; Burkina Faso; Ghana; Niger; Togo","AF054","Volta Basin","Africa","Original IGRAC entry"
312,"NER","Niger","Benin; Burkina Faso; Ghana; Niger; Togo","AF054","Volta Basin","Africa","Original IGRAC entry"
312,"TGO","Togo","Benin; Burkina Faso; Ghana; Niger; Togo","AF054","Volta Basin","Africa","Original IGRAC entry"
48,"122","Koualou","Algeria; Benin; Mali; Niger; Nigeria","AF056","Système Aquifère des Iullemmeden / Iullemmeden Aquifer System","Africa","Discarded: disputed"
48,"BEN","Benin","Algeria; Benin; Mali; Niger; Nigeria","AF056","Système Aquifère des Iullemmeden / Iullemmeden Aquifer System","Africa","Original IGRAC entry"
48,"BFA","Burkina Faso","Algeria; Benin; Mali; Niger; Nigeria","AF056","Système Aquifère des Iullemmeden / Iullemmeden Aquifer System","Africa","Added to IGRAC"
48,"DZA","Algeria","Algeria; Benin; Mali; Niger; Nigeria","AF056","Système Aquifère des Iullemmeden / Iullemmeden Aquifer System","Africa","Original IGRAC entry"
