system:index,Aquifer,Broader,CS_max,CS_min,GWIrKHaKm2,RDS_main,RDS_mainDist,RDS_tot,STS,area_km2,compact,constant,crpkHaKm2,elev,elong,lat_c,lon_c,m_per_year,ntl,perim_km,pet_mm,pop,prec_mm,slope,urbkHaKm2,.geo
00000000000000000556,San Emidio Desert,-,1069.759884812329,312.4741892471853,1.2723717926527031E-4,0.0,24.678189145206368,61.613983704679264,3.87586857597767,303.0628020173148,0.27940953478186265,1.0,9.802417206613847E-4,1272.8369091963405,2.142530226359873,40.44175615338177,-119.4166008818012,0.06131567,0.3541136977385459,116.74831951900528,1149.3069680261606,0.048756135348439346,17.36396129317789,2.1004660102505266,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000557,Antelope Valley near Topaz Lake,-,4891.603572201771,1272.5600856065525,0.00924051589544858,0.0,4.567015264196866,93.63351374756438,2.4381684347261303,282.2808965689409,0.2645006226737797,1.0,0.012228616107963938,1645.6903767049146,1.3633256637540663,38.66348032754199,-119.46517982618602,0.00559984,0.3746497798131177,115.8063374743373,1135.0870958721252,0.6239007094546032,20.2474874038064,3.7882047480991314,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000558,Hansel and North Rozel Flat,-,5669.442563089754,1818.6259436032478,4.6327678437838043E-4,28.725231511959628,3.1180205847824074,108.3160149220979,1.7207548825982006,332.6771406522722,0.32777021437543186,1.0,0.002143784931695713,1399.9307702435808,1.374372097720865,41.760983949275655,-112.65807196583418,0.01036175,0.32597613232528694,112.93580958540106,1018.6738844667915,0.00131939220871112,25.13236851729938,2.195855913217924,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000559,Blue Creek Valley,-,7774.237073030708,2405.008402487318,0.003675570429204603,90.21390494935821,2.3914305734770305,198.64190962397996,1.1287827531061623,284.50270038713336,0.28299662806846543,1.0,0.02126664760956946,1485.9475847787753,2.1262113754434493,41.83944694199504,-112.4597069536682,0.03670275,0.6288932308993976,112.39771906906097,981.4360840692563,0.05249387490759793,28.886138106368133,2.191228580939331,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000055a,Sink Valley,-,3311.019396229238,799.1494862976315,0.0,61.028168487206315,16.28682047604849,79.03528542570695,3.5739703351788097,316.4037183377602,0.5149676166174227,1.0,0.0,1380.246165644172,1.3247778781985964,40.89406443401261,-112.93440155804778,0.00822873,0.3169648249076321,87.86901570527483,1085.2940221174035,5.701617560342504E-7,20.618986466112588,1.996204615631303,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000055b,Mercury Valley,-,2595.7201523260615,122.46138135549614,0.0,0.0,2.179997146920389,75.58763894606837,2.5204302181967897,122.17937887836841,0.4523851567203304,1.0,0.0,1099.7165242898316,1.0455907032119134,36.61095816006147,-116.01185167804645,-0.01734118,0.5575831423211846,58.25721444661532,1566.162381131717,7.381178976663862E-5,10.69603227884026,2.4839698350267563,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000055c,Chicago Valley,-,2614.369248590361,63.725283418223796,0.0,0.0,15.230752581153778,52.34028925267874,2.793715823722807,185.94369523286142,0.3984497687257298,1.0,0.0,724.626543788222,1.9475288908208193,35.990084254779745,-116.14854049409432,0.044196,0.3018249676321712,76.57885546411738,1787.432398271942,0.0010204880900942653,7.681459029247903,3.443054400195921,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000055d,Muddy River Springs Area,-,3333.0,74.30739634574843,0.0035745492363557104,45.88165846802529,0.0,136.00611384399153,2.51767392832045,44.62512717568777,0.21346705929257684,1.0,0.005302340795827273,554.0636683063949,1.7133193524550028,36.69915225218916,-114.69454514837469,0.03430833,0.5362789600417384,51.25417315369628,1718.2990395877257,0.9080532809919061,9.362899018292552,1.4238234793065219,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000055e,Truckee Meadows and Pleasant Valley,-,6240.980348429851,1415.569130098406,0.0015646247168142253,184.61148410872022,0.004401615255995253,4289.376503523048,2.2055506789083696,381.988490893248,0.33364748560185525,1.0,0.003851719371820087,1473.0669497758054,1.3733646791693126,39.46556795049337,-119.80330681280167,0.02411976,18.26747024229787,119.94610310940915,1113.2651001725608,49.26612255475614,20.41604672139531,3.0005868812597476,0.036244717523803316,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000055f,Western Washoe Valley,-,6717.933221058797,1478.6999539308283,0.005246121846992184,0.0,0.0,1405.2475653511015,4.805594200776158,41.415063040768395,0.24594021031664978,1.0,0.016159057429866393,1564.301017793073,1.9276461382939494,39.26965548831899,-119.82388367233067,-0.007747,0.8852422502140895,46.001217412927296,1045.0250798236445,1.6254194677738039,25.384753295568267,2.8263513939524203,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
