system:index,Area,CC,CR,CR3,CntryNm,GW,GW3,IR,IR3,Region,UR,aq_id,code,countrs,name,.geo
00000000000000000311,5.019283367031865E8,USA,0.7627525143078738,0.0,United States,6.29253010378507E-5,0.0,9.695092686930772E-4,0.0,AMER,0.0,71,N007,Canada; United States of America,Ch�teauguay,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000312,2.1355337295980394E8,MEX,0.004582104403691829,0.0018410269216443847,Mexico,1.8911585120549846E-4,0.0,2.0345221312979608E-4,0.0,AMER,20.900178778137267,329,N008,Mexico; United States of America,Tijuana - San Diego Aquifer,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000313,2.154163302647058E8,USA,0.05322696174063976,0.022793423150831885,United States,0.0035083572263114784,0.0,0.009139894260910993,0.0,AMER,13.274151707500016,329,N008,Mexico; United States of America,Tijuana - San Diego Aquifer,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000314,4.035492705561275E8,MEX,0.022403854816132128,0.0,Mexico,2.2013222047000044E-4,0.0,2.2408364422720978E-4,0.0,AMER,5.2050904834068605,340,N012,Mexico; United States of America,Nogales-Rio Santa Cruz Aquifer / Upper Santa Cruz Basin,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000315,6.85625798810049E8,USA,0.00558216359535871,1.0511493863811072E-4,United States,0.0,0.0,0.0,0.0,AMER,2.6468996065441175,340,N012,Mexico; United States of America,Nogales-Rio Santa Cruz Aquifer / Upper Santa Cruz Basin,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000316,3.1214692874607855E8,MEX,0.015543270458917041,0.0,Mexico,0.0,0.0,0.0,0.0,AMER,0.4364887649754902,339,N013,Mexico; United States of America,Rio San Pedro Aquifer / Upper San Pedro Basin,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000317,3.2989806618970585E8,USA,0.026545775641226167,0.0,United States,0.0015247085167838586,0.0,0.0021727889940481087,0.0,AMER,0.0744627225245098,339,N013,Mexico; United States of America,Rio San Pedro Aquifer / Upper San Pedro Basin,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000318,4.7331884143872565E8,MEX,0.0,0.0,Mexico,0.0,0.0,0.0,0.0,AMER,0.029248122107843135,333,N014,Mexico; United States of America,Conejos Medanos Aquifer / Mesilla Bolson,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000319,5.945280004882354E8,USA,0.07248969154411813,0.047663974686349246,United States,0.005106460701106123,0.004007006448625719,0.027675078986108263,0.021689698833760103,AMER,9.644109102083329,333,N014,Mexico; United States of America,Conejos Medanos Aquifer / Mesilla Bolson,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000031a,1.5240517819193635E9,MEX,1.4078102844574378,1.379468924911613,Mexico,0.33309110926382524,0.28792490347625666,0.7704274420190788,0.626490214780591,AMER,25.95722505933827,327,N015,Mexico; United States of America,Valle de Juarez Bolson / Hueco-Tularosa Bolson,"{""type"":""MultiPoint"",""coordinates"":[]}"
