system:index,Area,CR,CR3,GID_0,GW,GW3,IR,IR3,InPoly_FID,MaxSimpTol,MinSimpTol,NAME_0,Shape_Area,Shape_Leng,SimPgnFlag,UR,area,vertex,.geo
000000000000000000c9,2.2629265694117647E8,0.00992615073798626,0.0,SPM,0.0,0.0,0.0,0.0,203,8.9932205E-4,8.9932205E-4,Saint Pierre and Miquelon,0.02675836406,2.01809266792,0,0.0,0.0,658,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cc,1.0013985503791664E9,0.0,0.0,STP,0.0,0.0,0.0,0.0,206,8.9932205E-4,8.9932205E-4,São Tomé and Príncipe,0.08139777258,2.51786480671,0,6.330571734901961,0.0,942,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d2,3.796145297941174E7,6.037210984098573E-5,0.0,SXM,0.0,0.0,0.0,0.0,212,8.9932205E-4,8.9932205E-4,Sint Maarten,0.0032388701,0.42888078223,0,2.502590996740196,0.0,147,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d5,9.885975487624998E8,0.0011843959352707668,0.0,TCA,0.0,0.0,0.0,0.0,215,8.9932205E-4,8.9932205E-4,Turks and Caicos Islands,0.08654539912,7.74826858745,0,1.2796578933088236,0.0,2711,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000da,1.4921982069362745E7,0.0,0.0,TKL,0.0,0.0,0.0,0.0,220,8.9932205E-4,8.9932205E-4,Tokelau,0.00124394211,1.12505200179,0,0.0,0.0,432,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dd,7.605748042377452E8,0.0,0.0,TON,0.0,0.0,0.0,0.0,223,8.9932205E-4,8.9932205E-4,Tonga,0.06574468153,8.03260084286,0,3.8065889980147056,0.0,2665,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000de,5.15807587787304E9,0.3334918021204985,0.0,TTO,0.0,0.0,0.0,0.0,224,8.9932205E-4,8.9932205E-4,Trinidad and Tobago,0.42605966131,6.52684817025,0,71.3185812040441,0.0,2248,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e1,4.073175228431372E7,0.0,0.0,TUV,0.0,0.0,0.0,0.0,227,8.9932205E-4,8.9932205E-4,Tuvalu,0.00336803147,2.23825521685,0,0.0,0.0,686,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2,3.640243613413921E10,30.22518592654161,22.763228450763982,TWN,3.589679881607259,0.0,11.353404560595827,0.0,228,8.9932205E-4,8.9932205E-4,Taiwan,3.22458034371,20.9546070698,0,657.8151310257338,0.0,6970,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e6,4.68968208254902E7,0.0,0.0,UMI,0.0,0.0,0.0,0.0,232,8.9932205E-4,8.9932205E-4,United States Minor Outlying Islands,0.00402044033,1.86067661294,0,0.0,0.0,621,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ea,542489.3541666666,0.0,0.0,VAT,0.0,0.0,0.0,0.0,236,8.9932205E-4,8.9932205E-4,Vatican City,5.812176E-5,0.03312880851,0,0.054248935416666665,0.0,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000eb,3.974599044382354E8,0.0,0.0,VCT,0.0,0.0,0.0,0.0,237,8.9932205E-4,8.9932205E-4,Saint Vincent and the Grenadines,0.03316222838,2.38264185606,0,6.762916587843134,0.0,971,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ed,1.6878982829264703E8,1.5045492070781414E-4,0.0,VGB,0.0,0.0,0.0,0.0,239,8.9932205E-4,8.9932205E-4,British Virgin Islands,0.01447030273,3.20104397942,0,0.7834489532843137,0.0,1223,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ee,3.6147825298602945E8,0.004111240130344751,0.0,VIR,0.0,0.0,0.0,0.0,240,8.9932205E-4,8.9932205E-4,"Virgin Islands, U.S.",0.0308743604,3.46965448262,0,9.696903576372549,0.0,1351,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f1,1.5531838385416666E8,0.0,0.0,WLF,0.0,0.0,0.0,0.0,243,8.9932205E-4,8.9932205E-4,Wallis and Futuna,0.01300192912,1.39343512071,0,0.0,0.0,458,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f2,2.853051274120834E9,0.0,0.0,WSM,0.0,0.0,0.0,0.0,244,8.9932205E-4,8.9932205E-4,Samoa,0.2384703397,4.1719559247,0,10.917763262475493,0.0,1279,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f5,1.0122156012745097E7,0.0,0.0,XCL,0.0,0.0,0.0,0.0,247,8.9932205E-4,8.9932205E-4,Clipperton Island,8.3582379E-4,0.11202870155,0,0.0,0.0,38,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,1.916635397867647E7,0.0,0.0,XPI,0.0,0.0,0.0,0.0,250,8.9932205E-4,8.9932205E-4,Paracel Islands,0.00165847333,1.39517909389,0,0.0,0.0,351,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,1730079.9651960786,0.0,0.0,XSP,0.0,0.0,0.0,0.0,251,8.9932205E-4,8.9932205E-4,Spratly Islands,1.4220616E-4,0.15854858786,0,0.0,0.0,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
