"aq_id","CntrName","type","area_km2","lat_c","lon_c","CS_max","RDS_mainDist","GW","Ir","IrNeed3","IrNeed0","OverIR3","OverIR6","giniIr","giniGw","giniIr_Need","giniCSI","gini_crpGWSpct_gt0","gini_gwpct_gt0","RiverBorder"
327,"Mexico","treat",2120.04951108905,31.2444188939886,-105.953197961229,1964.15279781314,0.995667360503462,0.0156216844449159,0.035240864831533,0.0631400985821477,0.0643981427404952,0.0289698447856853,0.0289698447856853,-0.721451762687395,-0.723196162165634,-0.679756293639138,0.871305759559063,-0.679756293639138,-0.72103049012946,FALSE
327,"United States","treat",5651.65122488347,31.8484287035099,-106.090221954238,3096.41496179327,13.7619137937697,0.0056205335515183,0.0243808977060293,0.0324625156909416,0.0339031398989481,0.0145888855261586,0.0145888855261586,-0.804413651312353,-0.909475146432169,-0.878849971814413,0.223727722935927,-0.878849971814413,-0.802885450567174,FALSE
346,"Mexico","treat",2975.62869759877,31.5321201647291,-107.557261501669,2115.44223673102,0.618252312152085,0.00230920954911292,0.00266168525798318,0.00621053617351715,0.0069908718022771,0.00228941406880611,0.00228941406880611,0.180817874636778,0.219418457724594,0.295266769735649,0.748634191102022,0.295266769735649,0.219418457724594,TRUE
346,"United States","treat",8246.88140314073,32.2599781569757,-107.781296175596,3689.8931521798,31.2657597239968,0.00353756684581655,0.00370287299016079,0.00779626685740123,0.0103901545641935,0.00316600414217781,0.00316600414217781,-0.325882354794717,-0.28784729346125,-0.570771464695626,0.424200311102817,-0.570771464695626,-0.28784729346125,TRUE
70,"Canada","treat",136778.776331683,50.6996484442512,-107.575131902826,9211.15992110273,19.6835977585798,0,0.0033468241480341,0.365330344579006,0.365802278647085,0,0,0.138928319403031,NA,0.052806146985714,-0.484930220252562,0.052806146985714,0.141724739575063,TRUE
70,"United States","treat",31603.7816601493,48.5003349956704,-107.4413141544,7683.71292175679,76.835413285419,0,0.00622182309825225,0.107846340302952,0.124786421477801,0.00052730820537748,0,-0.0274243380518309,NA,-0.224046228987202,0.364559346046162,-0.224046228987202,-0.0274243380518309,TRUE
69,"Canada","treat",14505.0074164646,49.4181455120297,-111.382686349643,8162.83767026301,19.006719271664,0,0.0440744528784202,0.32766496583499,0.328847231333174,0.0153194260137216,0.0153194260137216,0.58838355166894,NA,0.184500640308607,-0.399214250712569,0.184500640308607,0.611069184015909,TRUE
69,"United States","treat",11044.8212369206,48.645369683375,-110.74064430984,7191.45182112498,17.1283737807051,0,0.00344987257572513,0.352924792709001,0.352924792709001,0,0,-0.152057401129318,NA,0.112989591421405,-0.596857674565318,0.112989591421405,-0.152057401129318,TRUE
58,"Canada","treat",9063.33607689088,45.4586636593343,-72.895850470308,7137.22600641696,1.24494246239459,0.00294310581469397,0.00294310581469397,0,0.348263133423589,0,0,-0.167308532919876,-0.169021903326171,NA,-0.165598625811132,NA,-0.169021903326171,TRUE
58,"United States","treat",7627.04582454619,44.7092922609852,-73.2086701710644,6740.91664409138,2.81127869503204,0,0.000198315824132696,0,0.0853112755487187,0,0,-0.66265103136338,NA,NA,0.396500931628732,NA,-0.66265103136338,TRUE
359,"Canada","treat",30264.8992380272,49.3525391766157,-103.832375911539,9524.1513469039,16.9116351649402,0,8.75875180641393e-06,0.345423294028689,0.349359594936514,0,0,-0.586043044038891,NA,0.0265173499987343,0.582227254328237,0.0265173499987343,-0.991349382951289,TRUE
359,"United States","treat",266276.824275837,46.5670483450721,-103.845045150565,7194.08872709642,34.7543928790251,7.60867367678345e-05,0.00185118992567034,0.132917698070261,0.150296195396136,0.000210219690632435,0,-0.0200854812827631,-0.187399784336699,-0.449897699301164,0.402038050342011,-0.449897699301164,-0.121322744117649,TRUE
360,"Canada","treat",19360.4804941033,49.2644476999063,-104.044362609352,9610.40130550446,17.456172230774,0,5.01598231287646e-06,0.326798004679851,0.331143313300711,0,0,-0.444572738811304,NA,0.0439991615428152,0.278712609445275,0.0439991615428152,-0.989397951675807,TRUE
360,"United States","treat",222131.02346786,46.557225095107,-104.138752584913,7124.79713509987,34.1992960951038,3.9746246938033e-05,0.00203943447761469,0.133481879305014,0.15013495804784,0.000241940071860398,0,-0.0375547927967101,-0.379268386562929,-0.447224162009734,0.40852675014261,-0.447224162009734,-0.140656273578741,TRUE
330,"Mexico","treat",3483.312724524,32.1346182685702,-115.531663780953,304.121045982195,16.6920109960448,0,0,0,0,0,0,-0.191323266020238,NA,NA,-0.914951265502693,NA,-0.191323266020238,TRUE
330,"United States","treat",332.821589247854,32.726930842619,-116.012074431514,6178.69244771572,0,0,0,0,0,0,0,NA,NA,NA,0.943158640599066,NA,NA,TRUE
368,"Mexico","treat",16239.4075685459,32.029970997994,-114.595785469823,87.0269762670134,35.9134652650618,0,0.0944568046228114,0.114687302865271,0.114804345652063,0.0943908468140189,0.0943908468140189,-0.419048674767785,NA,-0.405759031935176,0.186870337716919,-0.405759031935176,-0.419048674767785,FALSE
368,"United States","treat",11667.1554249641,32.9268815205697,-115.297093776554,968.05714526219,17.2431242822038,0,0.156943682618621,0.162544752309953,0.163260733954717,0.156561738514889,0.156561738514889,-0.173485171000247,NA,-0.19533286183522,0.417621354884627,-0.19533286183522,-0.173485171000247,FALSE
341,"Mexico","treat",3727.01142953285,31.5467183851516,-113.141077001152,122.353300968702,11.5616739293708,0,0,0,0.000856448078824028,0,0,-0.179295260867327,-0.163746484166066,NA,0.227320259370816,NA,-0.163746484166066,TRUE
341,"United States","treat",53.2279146933302,32.0424612115413,-113.290832969276,-1,18.841678235408,0,0,0,0,0,0,NA,NA,NA,0.916411287882996,NA,NA,TRUE
336,"Mexico","treat",170.246898659508,31.8592031404675,-112.926741861223,1951.19570778574,0,0,0,0,0,0,0,-0.398507627974559,-0.398507627974559,NA,0.889119878445782,NA,-0.398507627974559,TRUE
336,"United States","treat",136.175274533524,31.959415733631,-112.957433348524,249.493242913597,0.00950427422980088,0,0,0,0,0,0,NA,NA,NA,0.787266655944778,NA,NA,TRUE
