"aq_id","CountryName","type","area_km2","lat_c","lon_c","CSI","RDS_mainDist","GWIrrig","Irrig","IrrigNeed","IrNeed0","Overdraft","OverIR6","G_Irrig","G_IrrigGW","G_IrrigNeed","G_CSI","gini_crpGWSpct_gt0","gini_gwpct_gt0","RiverBorder","IGRAC_Code","CountryCode","Countries","AquiferName","Region"
219,"Panama","treat",355.703875275031,9.46893889207731,-82.5970837718215,7449.45243445694,0.274023715327306,0,0,0,0.000371306526854787,0,0,NA,NA,NA,0.972991911367082,NA,NA,FALSE,"C018","PAN","Costa Rica; Panama","Sixaola / Salinas Aquifer","AMER"
209,"Dominican Republic","treat",352.971871462011,19.478121126194,-71.6560557771049,8777.43683473096,0,0,0.00522861157140195,0.0627000428676311,0.0644944476659707,0.00522861157140195,0,-0.194000987372615,NA,-0.283233021667666,0.677196808187504,-0.283233021667666,-0.194000987372615,FALSE,"CB001","DOM","Dominican Republic; Haiti","Plaine du Nord?Massacre","AMER"
209,"Haiti","treat",853.989770046166,19.6080681864977,-71.9899573199503,8209.19616619762,0,0,0.00075270365032178,0.00732543366205404,0.049606450771065,0.000444733561911478,0,-0.164714869191023,NA,-0.600559700823994,0.582814291143583,-0.600559700823994,-0.164714869191023,FALSE,"CB001","HTI","Dominican Republic; Haiti","Plaine du Nord?Massacre","AMER"
212,"Dominican Republic","treat",2676.07015932439,18.9635355246771,-71.5785604021973,9957.21486310623,4.77552380445161,0.00101518890415388,0.00615797592075406,0.0202464612869208,0.0207448226124995,0.00331462814290421,0,0.229470138414594,0.834816206164554,0.14417608840719,0.414490616904678,0.14417608840719,0.23467499011281,FALSE,"CB002","DOM","Dominican Republic; Haiti","Artibonito","AMER"
212,"Haiti","treat",6235.70495153075,19.0839839587772,-72.1110566429525,9511.05344236687,0,0,0.00734025778669342,0.0286648809740922,0.0289959096834627,0,0,0.731363784412597,NA,0.254565207811719,0.138107869681721,0.254565207811719,0.769548124987542,FALSE,"CB002","HTI","Dominican Republic; Haiti","Artibonito","AMER"
210,"Dominican Republic","treat",2957.04441175361,18.4000447181686,-71.5389475446212,9164.39253978159,4.30162930726745,0,0.00322912715164602,0.0154013649495412,0.0180435928522064,0.00252206799299446,0.00252206799299446,-0.0536179388081692,NA,0.158200629162946,0.309906070938606,0.158200629162946,-0.0536179388081692,FALSE,"CB003","DOM","Dominican Republic; Haiti","Los Lagos","AMER"
210,"Haiti","treat",82.477578149227,18.4483137858877,-71.8546771851245,9234.3971231456,0,0,0,0.00121383351634741,0.00127097622450525,0,0,-0.933935029551477,NA,-0.289154579440022,0.961671199703714,-0.289154579440022,-0.933935029551477,FALSE,"CB003","HTI","Dominican Republic; Haiti","Los Lagos","AMER"
211,"Dominican Republic","treat",160.531159699579,18.1810181177113,-71.7151645215946,10000,0.843427151114969,0,2.40299951267833e-05,0.00103702616319117,0.00146825301144182,0,0,0.122601825936032,NA,-0.488345099007859,0.94903758284184,-0.488345099007859,0.0967358601010855,TRUE,"CB004","DOM","Dominican Republic; Haiti","Pedernales","AMER"
211,"Haiti","treat",13.3098071557522,18.1349148399313,-71.7610180991341,10000,0,0,0,0.00225946641842421,0.0106806974588229,0,0,NA,NA,-0.138702432396594,0.96201940282977,-0.138702432396594,NA,TRUE,"CB004","HTI","Dominican Republic; Haiti","Pedernales","AMER"
397,"Canada","treat",170.147205433476,49.0317673511987,-122.289123562407,7003.32478247825,0,0.0375289885646576,0.048786671463972,0.00727595832377782,0.21322609292258,0,0,-0.274317419188307,-0.472738264880839,-0.29377325155164,0.963146266565632,-0.29377325155164,-0.274317419188307,TRUE,"N001","CAN","Canada; United States of America","Abbotsford-Sumas","AMER"
397,"United States","treat",207.733027915725,48.9623415563755,-122.39828549695,5804.41412911084,0,0.039630199065523,0.039630199065523,0.213475441858807,0.329479134142506,0,0,-0.126588988792439,-0.126588988792439,0.109240773081109,0.529676398832121,0.109240773081109,-0.126588988792439,TRUE,"N001","USA","Canada; United States of America","Abbotsford-Sumas","AMER"
406,"Canada","treat",8007.4547856763,49.7894951046961,-119.513206359931,5498.90334373733,38.5496185173117,0,0.00130205447853168,0.00482228726328899,0.00624096260549103,0,0,0.0395349129501226,NA,0.345244492872238,-0.597021222546693,0.345244492872238,0.0106024190084756,TRUE,"N002","CAN","Canada; United States of America","Okanagan-Osoyoos","AMER"
406,"United States","treat",314.367239187196,48.9269069791431,-119.404111451849,7758.92756986356,0.848308461065684,0,0.00330903568904629,0,0.0140431484258578,0,0,0.0737017816575489,NA,NA,0.971596796072616,NA,0.0770137934794819,TRUE,"N002","USA","Canada; United States of America","Okanagan-Osoyoos","AMER"
398,"Canada","treat",41.3228441603934,49.0168968627842,-118.440332474515,7390.75827160494,0.709489964469475,0,0,0.00845436503543486,0.0552884721849931,0,0,NA,NA,-0.185736116396711,0.928899642770304,-0.185736116396711,NA,TRUE,"N003","CAN","Canada; United States of America","Grand Forks","AMER"
398,"United States","treat",6.94934779795479,48.9949226756073,-118.463092219371,5067.8270123839,7.01131854744786,0,0,0,0.0661920829733724,0,0,NA,NA,NA,0.99666442297027,NA,NA,TRUE,"N003","USA","Canada; United States of America","Grand Forks","AMER"
67,"Canada","treat",4419.4148073991,49.1479744364352,-106.169499767397,9602.6932982104,52.8985075183207,0,6.02411229560379e-05,0.252893407868457,0.252896814111288,0,0,-0.131934530506357,NA,0.089827564722704,0.332452778567868,0.089827564722704,-0.976172667206547,TRUE,"N004","CAN","Canada; United States of America","Eastend-Ravenscrag (Poplar)","AMER"
67,"United States","treat",18701.3704706904,48.4438650915802,-106.662535328816,8013.02281227132,79.9098835984904,0,0.00490257794619584,0.124362009728063,0.141369858735851,0,0,-0.0157201592165768,NA,-0.241241360573696,-0.563539776660953,-0.241241360573696,-0.0157201592165768,TRUE,"N004","USA","Canada; United States of America","Eastend-Ravenscrag (Poplar)","AMER"
68,"Canada","treat",7914.72757357049,49.553369947779,-103.62540088362,9062.94441169036,10.3041266524223,0,0,0.441981925693063,0.441981925693063,0,0,NA,NA,0.0352515608801294,-0.944504087525484,0.0352515608801294,NA,TRUE,"N005","CAN","Canada; United States of America","Estevan Valley Aquifer System","AMER"
68,"United States","treat",1273.49546127357,48.8320569315895,-102.752445228596,8685.88222523199,29.8253077749553,0,0,0.222969582978424,0.297830110055961,0,0,NA,NA,-0.343491693638714,-0.742889677950149,-0.343491693638714,NA,TRUE,"N005","USA","Canada; United States of America","Estevan Valley Aquifer System","AMER"
71,"Canada","treat",1449.6236252328,45.1251528506458,-73.8843135335834,8251.78206879732,0.74371440824881,0.0216905071216166,0.0216905071216166,0,0.373493639512376,0,0,0.465842967433756,0.465842967433759,NA,-0.689723855921927,NA,0.465842967433759,TRUE,"N007","CAN","Canada; United States of America","Châteauguay","AMER"
71,"United States","treat",1049.15943794767,44.8746787617081,-74.0378772503683,5764.45286807288,3.1425560385463,0,0.000172106898718543,0,0.11314416078235,0,0,-0.0111241507729252,NA,NA,0.851141832461263,NA,-0.0111241507729416,TRUE,"N007","USA","Canada; United States of America","Châteauguay","AMER"
329,"Mexico","treat",264.586964311943,32.4975790386021,-116.941384361315,6001.47062784463,0,0.000362764061778902,0.000362764061778902,0.0012677628793026,0.00287361475286798,0,0,-0.30794191354739,0.215731854848776,0.555980097151896,0.806368071944121,0.555980097151896,0.215731854848776,TRUE,"N008","MEX","Mexico; United States of America","Tijuana - San Diego Aquifer","AMER"
329,"United States","treat",448.325260446859,32.6436762431018,-117.054937460405,9896.88503244221,0,0,0.00152135690172833,0.00587850219589029,0.0140618632378534,0,0,-0.604228386621683,NA,-0.433255349843339,-0.224518731439386,-0.433255349843339,-0.604228386621683,TRUE,"N008","USA","Mexico; United States of America","Tijuana - San Diego Aquifer","AMER"
340,"Mexico","treat",696.175002844661,31.2458405950664,-110.711136716297,7048.89708814359,0.236696555353407,0.000782450105338217,0.000782450105338217,0,0.00691930135491541,0,0,0.101785843883956,0.126182001045123,NA,0.609215175584924,NA,0.126182001045123,TRUE,"N012","MEX","Mexico; United States of America","Nogales-Rio Santa Cruz Aquifer / Upper Santa Cruz Basin","AMER"
340,"United States","treat",6751.30212822624,31.8997738757696,-110.838977959456,5871.14182033801,8.62505178734542,0.000213436435458056,0.000318761513234626,0.0013645935495932,0.00300202487088128,0.000193975286334095,0.000193975286334095,0.0254729114428354,0.0233505492934616,-0.151346303725217,-0.561068829914972,-0.151346303725217,0.0233505492934616,TRUE,"N012","USA","Mexico; United States of America","Nogales-Rio Santa Cruz Aquifer / Upper Santa Cruz Basin","AMER"
339,"Mexico","treat",1122.37718390259,31.1580450998788,-110.147929191216,6205.60454399121,0,0.000193716193014368,0.000435151735737404,0.00130981186641286,0.0034417598698202,0,0,-0.214422008344028,-0.109185995424331,-0.215829432651477,0.401001561878213,-0.215829432651477,-0.109185995424331,TRUE,"N013","MEX","Mexico; United States of America","Rio San Pedro Aquifer / Upper San Pedro Basin","AMER"
339,"United States","treat",4232.06190161117,31.8196211090621,-110.209055448599,3579.2946750938,7.59210393870771,0.00081905296890992,0.000829277720730085,0,0.00320097109483577,0,0,0.349799115298393,0.344025395514748,NA,0.310588776125303,NA,0.344025395514748,TRUE,"N013","USA","Mexico; United States of America","Rio San Pedro Aquifer / Upper San Pedro Basin","AMER"
333,"Mexico","treat",6034.49886587469,31.3947052933016,-106.825645224553,377.777846676149,5.37423349275492,0.000118700014318989,0.000119482645517331,0.000311045970676028,0.000460240410282367,9.19077426814762e-05,9.19077426814762e-05,-0.176766050731682,-0.13715044331835,-0.329995233167162,-0.826914510174226,-0.329995233167162,-0.13715044331835,FALSE,"N014","MEX","Mexico; United States of America","Conejos Medanos Aquifer / Mesilla Bolson","AMER"
333,"United States","treat",2988.54190174666,32.0743062102867,-106.81510229856,4686.55201971416,22.3591978208976,0.00397468916645416,0.0732053747371721,0.0806696949369207,0.0825656604638777,0.072355751752192,0.072355751752192,0.199506625483536,0.290086407354738,0.234527845979478,-0.623254432665132,0.234527845979478,0.199506625483536,FALSE,"N014","USA","Mexico; United States of America","Conejos Medanos Aquifer / Mesilla Bolson","AMER"
327,"Mexico","treat",2120.04951108905,31.2444188939886,-105.953197961229,1964.15279781314,0.995667360503462,0.0169767846966962,0.0388569783162513,0.0631400985821477,0.0643981427404952,0.0315019809891789,0.0315019809891789,-0.721451762687395,-0.701126878399784,-0.622045883495166,0.871305759559063,-0.622045883495166,-0.72103049012946,FALSE,"N015","MEX","Mexico; United States of America","Valle de Juarez Bolson / Hueco-Tularosa Bolson","AMER"
