"","b_0","se_0","p_0","nm_0","st0","tau2_CC_0","b_1","se_1","p_1","nm_1","st1","tau2_CC_1","n","k_cluster","looaqf","k","iter"
"21",31.6953946552397,18.6190267684114,0.0886968767693759,"intrcpt","",6069.96432620939,0.266845511404412,0.61239987227221,0.663027287014143,"intrcpt","",6.60352699572236,675,19,"Southern St. Lawrence Lowlands; Sandlands Aquifer; Western Carrizo-Wilcox; Mimbres Basin; Barind Tract and Central Floodplains",5,2
"22",5.37464877727411,1.74958265374377,0.00212657874739164,"TBTRUE","***",6069.96432620939,-0.280219632643851,0.0578446116635766,1.27025866183202e-06,"TBTRUE","***",6.60352699572236,675,19,"Southern St. Lawrence Lowlands; Sandlands Aquifer; Western Carrizo-Wilcox; Mimbres Basin; Barind Tract and Central Floodplains",5,2
"23",50.1048520217017,17.5563674655206,0.00431804329631109,"intrcpt","",5364.2595990249,-0.145118061059785,0.16056832390418,0.366113319757894,"intrcpt","",0.333916624781118,670,19,"Tournaisis Region Carbonate Aquifers; Rio Grande Delta; Sylhet Basin; Trans Gangetic Plain; Stockton Plateau; Eastern Imperial and Amos and Oligby Valleys; Pomfret-Vergelegen Dolomitic Aquifer; Mimbres Basin; Middle Gangetic Plain; San Pedro Basin",10,2
"24",7.18153648598538,1.66817715466648,1.66970436987132e-05,"TBTRUE","***",5364.2595990249,-0.0262625769644524,0.0633023608431277,0.678233296224219,"TBTRUE","",0.333916624781118,670,19,"Tournaisis Region Carbonate Aquifers; Rio Grande Delta; Sylhet Basin; Trans Gangetic Plain; Stockton Plateau; Eastern Imperial and Amos and Oligby Valleys; Pomfret-Vergelegen Dolomitic Aquifer; Mimbres Basin; Middle Gangetic Plain; San Pedro Basin",10,2
"25",45.8187178743817,14.5687298188438,0.00166084390806606,"intrcpt","",3408.63822268857,-0.0612079698970565,0.149901530161381,0.683037890615682,"intrcpt","",0.230977046878198,664,19,"Northern Piedmont and Tista Fan; Edwards Plateau; Madhupur Tract and Eastern Floodplains; Sylhet Basin; West Jutland Quaternary and Tertiary Sand Aquifer System; Barind Tract and Central Floodplains; Southern Odanah Shale; Tijuana-San Diego Basin; Mons Sedimentary Basin; Valle de Juarez and Hueco Bolson; Pomfret-Vergelegen Dolomitic Aquifer; Avra Valley; Sandlands Aquifer; Bari Doab; Southcentral Floodplains",15,2
"26",-2.27496031551364,2.66630284677183,0.393533695977053,"TBTRUE","***",3408.63822268857,-0.456021197282106,0.0633485138801928,6.08298019934282e-13,"TBTRUE","***",0.230977046878198,664,19,"Northern Piedmont and Tista Fan; Edwards Plateau; Madhupur Tract and Eastern Floodplains; Sylhet Basin; West Jutland Quaternary and Tertiary Sand Aquifer System; Barind Tract and Central Floodplains; Southern Odanah Shale; Tijuana-San Diego Basin; Mons Sedimentary Basin; Valle de Juarez and Hueco Bolson; Pomfret-Vergelegen Dolomitic Aquifer; Avra Valley; Sandlands Aquifer; Bari Doab; Southcentral Floodplains",15,2
"27",32.8802849893789,13.3796275915487,0.013991217231554,"intrcpt","",2702.33860691842,-0.148299450632805,0.0762212537044865,0.051697477259939,"intrcpt","*",0.0424167425592387,659,18,"Northern Piedmont and Tista Fan; Southcentral Floodplains; Rio Grande Delta; Williston Basin; Edwards Plateau; Trans Gangetic Plain; Madhupur Tract and Eastern Floodplains; Western Bengal Basin; Northern Piedmont and Tista Fan; Middle Gangetic Plain; Lom- Pleven Depression; Pomfret-Vergelegen Dolomitic Aquifer; Southern Odanah Shale; San Pedro Basin; Bari Doab; Stockton Plateau; Alsatian Aquifer and Upper Rhine Valley; Southern St. Lawrence Lowlands; Eastern Mekong Delta; Barind Tract and Central Floodplains",20,2
"28",9.28023289353218,1.97714254113045,2.68228487856032e-06,"TBTRUE","***",2702.33860691842,-0.0061076591161504,0.0731232910258454,0.933433705735419,"TBTRUE","",0.0424167425592387,659,18,"Northern Piedmont and Tista Fan; Southcentral Floodplains; Rio Grande Delta; Williston Basin; Edwards Plateau; Trans Gangetic Plain; Madhupur Tract and Eastern Floodplains; Western Bengal Basin; Northern Piedmont and Tista Fan; Middle Gangetic Plain; Lom- Pleven Depression; Pomfret-Vergelegen Dolomitic Aquifer; Southern Odanah Shale; San Pedro Basin; Bari Doab; Stockton Plateau; Alsatian Aquifer and Upper Rhine Valley; Southern St. Lawrence Lowlands; Eastern Mekong Delta; Barind Tract and Central Floodplains",20,2
"29",40.9827776218207,25.207636215499,0.10399049753024,"intrcpt","",10756.0491178885,0.503105255759814,0.730929884585981,0.49125852729356,"intrcpt","",9.14057150055472,655,18,"Middle Gangetic Plain; Rio Grande Delta; Rechna Doab; West Jutland Quaternary and Tertiary Sand Aquifer System; Alsatian Aquifer and Upper Rhine Valley; Northern Piedmont and Tista Fan; Southern Odanah Shale; Mioplioquatenario de Elvas-Campo Maior and Vegas Baja Aquifers; Mimbres Basin; Avra Valley; Rio Grande Delta; Devonian and Overlying Unconsolidated Aquifers; Western Carrizo-Wilcox; Barind Tract and Central Floodplains; Eastside Middle Indus Plain; Bari Doab; Lom- Pleven Depression; Eastern Imperial and Amos and Oligby Valleys; Trans Gangetic Plain; Stockton Plateau; Williston Basin; Tournaisis Region Carbonate Aquifers; Northern Piedmont and Tista Fan; Barind Tract and Central Floodplains; Edwards Plateau",25,2
"30",9.824256532159,2.08248137085417,2.38675535809773e-06,"TBTRUE","***",10756.0491178885,-0.451510362453359,0.0901231321709132,5.4450531022315e-07,"TBTRUE","***",9.14057150055472,655,18,"Middle Gangetic Plain; Rio Grande Delta; Rechna Doab; West Jutland Quaternary and Tertiary Sand Aquifer System; Alsatian Aquifer and Upper Rhine Valley; Northern Piedmont and Tista Fan; Southern Odanah Shale; Mioplioquatenario de Elvas-Campo Maior and Vegas Baja Aquifers; Mimbres Basin; Avra Valley; Rio Grande Delta; Devonian and Overlying Unconsolidated Aquifers; Western Carrizo-Wilcox; Barind Tract and Central Floodplains; Eastside Middle Indus Plain; Bari Doab; Lom- Pleven Depression; Eastern Imperial and Amos and Oligby Valleys; Trans Gangetic Plain; Stockton Plateau; Williston Basin; Tournaisis Region Carbonate Aquifers; Northern Piedmont and Tista Fan; Barind Tract and Central Floodplains; Edwards Plateau",25,2
