"HYBAS_ID","area_km2","name","aq_id","dist_km","lev"
5060015450,4865.66113831154,"Indonesia",455,1048.69496474666,6
5060037610,18272.0129867467,"Indonesia",455,1054.95077567341,6
5060038550,8794.68397769768,"Indonesia",455,703.479183207785,6
5060040040,7167.24810927439,"Indonesia",455,990.556057701515,6
5060040820,5349.74606804265,"Papua New Guinea",455,1034.28539632123,6
5060040830,9275.70277663212,"Papua New Guinea",455,946.135687712482,6
5060041010,9419.8425111249,"Papua New Guinea",455,834.036315615221,6
5060041160,5701.75303584683,"Papua New Guinea",455,760.095856873322,6
5060209020,4537.68831118671,"Papua New Guinea",455,664.039614320403,6
5060209030,4352.02022658889,"Papua New Guinea",455,699.473722640511,6
5060205820,6090.64312884963,"Papua New Guinea",455,535.481281745435,6
5060203800,4835.42286895089,"Papua New Guinea",455,573.394360908587,6
5060041240,4947.33278173442,"Papua New Guinea",455,704.576740058379,6
5060041390,17341.370696386,"Papua New Guinea",455,544.823176253884,6
5060203580,8347.52794960148,"Papua New Guinea",455,400.171177618918,6
5060196500,6979.64075550791,"Papua New Guinea",455,394.042057252837,6
5060045200,6244.42390548418,"Indonesia",455,711.668865507875,6
5060045250,5615.0273464931,"Indonesia",455,769.683426740969,6
5060045260,50789.9969546182,"Indonesia",455,662.714280673031,6
5060046440,5531.74191776272,"Indonesia",455,367.35491067304,6
5060046450,11553.1772674391,"Indonesia",455,322.291064480035,6
5060046910,6521.40686198527,"Indonesia",455,232.48008195684,6
5060175690,24554.9311295084,"Indonesia",455,276.278626162714,6
5060183130,6072.63863342859,"Indonesia",455,156.772870943659,6
5060185020,7164.25848719708,"Indonesia",455,172.460815925596,6
5060188180,5573.65840652492,"Papua New Guinea",455,435.226579883783,6
5060189040,11901.3291842529,"Papua New Guinea",455,467.563186550518,6
5060189930,7532.73778978759,"Papua New Guinea",455,363.382684040381,6
5060047760,17744.7916646048,"Papua New Guinea",455,550.135230985667,6
5060047770,20009.4685410288,"Papua New Guinea",455,689.962765924785,6
5060048610,12657.5935675287,"Papua New Guinea",455,756.484401279176,6
5060048620,4335.04832432342,"Papua New Guinea",455,867.409339847047,6
5060048820,14366.1519814511,"Papua New Guinea",455,1040.46936695338,6
5060050310,5785.88020384265,"Indonesia",455,471.790266372869,6
5060050910,36329.6662479034,"Papua New Guinea",455,1042.68825816671,6
5060038550,8794.68397769768,"Indonesia",456,783.53998405452,6
5060040820,5349.74606804265,"Papua New Guinea",456,922.24063564739,6
5060040830,9275.70277663212,"Papua New Guinea",456,834.068530945308,6
5060041010,9419.8425111249,"Papua New Guinea",456,718.878168483496,6
5060041160,5701.75303584683,"Papua New Guinea",456,647.488443628068,6
5060209020,4537.68831118671,"Papua New Guinea",456,552.047065781462,6
5060209030,4352.02022658889,"Papua New Guinea",456,581.686927177035,6
5060205820,6090.64312884963,"Papua New Guinea",456,429.421109175612,6
5060204390,3830.04402376966,"Papua New Guinea",456,439.456231433587,6
5060203800,4835.42286895089,"Papua New Guinea",456,455.020728028705,6
5060041240,4947.33278173442,"Papua New Guinea",456,598.933045717133,6
5060041390,17341.370696386,"Papua New Guinea",456,446.261899407493,6
5060203580,8347.52794960148,"Papua New Guinea",456,316.406716174945,6
5060196500,6979.64075550791,"Papua New Guinea",456,289.295607951216,6
5060045200,6244.42390548418,"Indonesia",456,841.652071977997,6
5060045210,3851.11749797367,"Indonesia",456,869.69025572449,6
5060045250,5615.0273464931,"Indonesia",456,899.983661293652,6
5060045260,50789.9969546182,"Indonesia",456,791.598427015201,6
5060046440,5531.74191776272,"Indonesia",456,491.63508233818,6
5060046450,11553.1772674391,"Indonesia",456,452.571038974936,6
5060046910,6521.40686198527,"Indonesia",456,362.970375172097,6
5060175690,24554.9311295084,"Indonesia",456,396.056744745298,6
5060183130,6072.63863342859,"Indonesia",456,238.767073378258,6
5060185020,7164.25848719708,"Indonesia",456,192.421778719584,6
5060188180,5573.65840652492,"Papua New Guinea",456,307.712825609437,6
5060189030,4105.39773467673,"Papua New Guinea",456,206.708113025735,6
5060189040,11901.3291842529,"Papua New Guinea",456,347.879870659132,6
5060189930,7532.73778978759,"Papua New Guinea",456,243.631236035568,6
5060047760,17744.7916646048,"Papua New Guinea",456,423.539742122822,6
5060047770,20009.4685410288,"Papua New Guinea",456,562.42419893088,6
