"column","code","CC_1","CC_2","segment","dyad","rel_excess"
"IR_B1_2","AF064","BFA","MLI",0.0346162598944234,0.0347578733317181,0.00409095141204263
"GW3_B1_2","AS091","LAO","THA",0.030069097676497,0.0301751830765881,0.00352805399192335
"Area_B2_2","AF064","MLI","MRT",82997107409.8701,83260911774.0218,0.00317847660459947
"CR3_B1_1","EB057","ALB","GRC",0.256908138470839,0.257703716993759,0.00309674316919462
"Area_B2_2","AS035","KAZ","TKM",25985097066.0929,26042082361.9029,0.00219299915120974
"GW_B2_2","AF056","NER","NGA",0.178708107185275,0.178993150316564,0.00159502070598916
"UR_B1_1","AS001","EGY","ISR",3.08850246034314,3.09318320904412,0.00151553989711184
"UR_B1_1","AS002","EGY","ISR",3.08850246034314,3.09318320904412,0.00151553989711184
"GW_B1_1","AS001","EGY","PSE",0.0369868458736917,0.0370391466885597,0.00141403825150821
"GW3_B1_1","AS001","EGY","PSE",0.0369868458736917,0.0370391466885597,0.00141403825150821
"IR_B1_1","AS001","EGY","PSE",0.0371544705455493,0.0372067713604173,0.00140765873123927
"IR3_B1_1","AS001","EGY","PSE",0.0371544705455493,0.0372067713604173,0.00140765873123927
"Area_B2_1","AS001","EGY","ISR",3365636355.55981,3369580746.85049,0.00117196003191644
"CR3_B1_1","AS001","EGY","PSE",0.0534034216282974,0.0534557224431654,0.000979353256277182
"UR_B1_1","AS118","MMR","THA",3.13753565355392,3.13972081639706,0.000696458330493588
"CR3_B1_2","AF056","NER","NGA",25.3043483677655,25.3212271111139,0.000667029362032334
"IR3_B2_2","AS123","IRN","IRQ",23.2634902415248,23.2740560515348,0.000454179914547659
"GW3_B2_2","AS123","IRN","IRQ",1.43904901611792,1.43929440610533,0.000170522327361144
"Area_B2_1","AF014","BWA","NAM",20706821577.5926,20707794627.6069,4.69917611747306e-05
"CR3_B1_2","AF026","BDI","COD",0.0974465143409951,0.0974471643365023,6.67027970746581e-06
"Area_B2_1","AF058","GNB","SEN",12922710367.111,12922763695.8083,4.12674244154587e-06
