"Aquifer","CS_max","GWIrKHaKm2","RDS_main","RDS_mainDist","RDS_tot","STS","area_km2","constant","crpkHaKm2","lat_c","lon_c","pet_mm","prec_mm","CC","CntrNm","urbkHaKm2","type","GW","Ir","IrNeed0","IrNeed3","IrNeed6","OverGW0","OverGW3","OverGW6","OverIR0","OverIR3","OverIR6","crp","giniIr","giniGw","giniCr","giniUnsustIr","giniUnsustGw","giniCSI","aq_id","RiverBorder"
"Cuberta de el Saltador",5366.85514195583,0,324.455331230284,0,543.084416403785,4.02787066246057,98.4776860891319,1,0.0538142333898335,37.4259756224373,-1.92289482931588,1124.81818086225,24.1163409329892,"ESP","Spain",0.00382761158813091,"ctrl",0,0.00754358353854146,0.0519306790418999,0.0519306790418999,0.0519306790418999,0,0,0,0.00754358353854146,0.00754358353854146,0.00754358353854146,0.0519306790418999,0.0305911468999156,NA,NA,0.0305911468999156,NA,NA,1163,FALSE
"Vega de Granada Aquifer",5931.44681108612,0,454.722432504155,0,2355.9851530092,3.12961669716142,670.083771578393,1,0.315591058852398,37.1792859939306,-3.81490014824475,1161.9220556967,34.8887029787801,"ESP","Spain",0.0181664717402906,"ctrl",0,0.128617288211297,0.31605556838353,0.31605556838353,0.31605556838353,0,0,0,0.128617288211297,0.127927333851218,0,0.31605556838353,0.133407938692586,NA,0.0766847570896455,0.144080812059736,NA,0.265868114357622,1164,FALSE
"Fuente-de-Piedra Aquifer",5574.84753348994,0,175.122468414704,0,359.022601739572,3.43666275157133,196.629466170951,1,0.261239906128535,37.14226463129,-4.75669889662676,1140.77464562135,50.5094254477349,"ESP","Spain",0,"ctrl",0,0.0515321641627925,0.267004603214193,0.267004603214193,0.267004603214193,0,0,0,0.0515321641627925,0.0515321641627925,0.0515321641627925,0.267004603214193,0.25008012877196,NA,-0.202742892547407,0.25008012877196,NA,-0.723417975195829,1165,FALSE
"Tajuna-Montes Universales Aquifer",6350.83492620609,0.0160375259406376,25.2594565907184,4.43184639150705,157.768673146668,5.433278991828,3430.26060093813,1,0.0565923701941395,40.6297429774297,-2.13454515830308,926.310466665059,47.6329717785431,"ESP","Spain",0,"ctrl",4.03473183232523e-05,4.03473183232523e-05,0.0569573455291535,0.0432251760049848,0.0125635696393023,4.03473183232523e-05,0,0,4.03473183232523e-05,0,0,0.0569573455291535,0.450940491383544,0.458074008678019,-0.0178739560140544,NA,NA,0.26647321446293,1166,FALSE
"Southern Guadiana Menor Basin",6255.6230934306,0,213.150305573451,0.451006459943931,321.330030209113,3.8799285689412,1429.35215979063,1,0.108391253602851,37.3455306182229,-2.9894675276497,1109.39607450696,36.7741206123447,"ESP","Spain",0.000528797317363275,"ctrl",0,0.0121198994528619,0.110601021924172,0.110601021924172,0.108167470676109,0,0,0,0.0121198994528619,0.0110603496047561,4.6905203359433e-05,0.110601021924172,-0.303086192945877,NA,0.045819506306419,-0.358270817211144,NA,0.167650134027979,1167,FALSE
"Eastern Guadiana Menor Basin",6161.0913389802,0,45.4645388081749,1.18573092486699,189.902690675193,3.46732203960285,1655.22563507164,1,0.42752528063689,37.7321847731863,-2.48057440956098,1104.21044378264,35.0621906788758,"ESP","Spain",0.000225635359637067,"ctrl",0,0.0207582503873616,0.424810862642658,0.424810862642658,0.424306052832104,0,0,0,0.0207582503873616,0.0102669256991111,0.00900062072662128,0.424810862642658,0.0558346481116873,NA,0.153859824358236,-0.230424974620219,NA,-0.315017162685598,1168,FALSE
"Oja Alluvial Aquifers",7526.74097530082,0,507.602322144818,0,873.625828583491,2.67896347899514,273.401365448181,1,0.541549378478969,42.4884629328108,-2.919410529568,843.774614894991,46.3384112659206,"ESP","Spain",0.00237279917273591,"ctrl",0,0.177613877457632,0.544399081732681,0.544166914202882,0.117259498706109,0,0,0,0.177613877457632,0,0,0.544399081732681,-0.013197654164677,NA,0.0809567117592038,NA,NA,0.318772201332181,1169,FALSE
"Lillo-Quintanar Aquifer",5124.24818123188,0.0640742816845379,196.945741340132,0,322.662290773858,3.67783091935941,997.692794606978,1,0.444697757364791,39.7922391666225,-3.10448446819864,1030.53232613644,35.2109687913984,"ESP","Spain",3.68959278881797e-06,"ctrl",0.0326436555588876,0.0326436555588876,0.444964487224185,0.444964487224185,0.444964487224185,0.0326436555588876,0.0227909608686323,0.0202996353425309,0.0326436555588876,0.0227909608686323,0.0202996353425309,0.444964487224185,-0.236837045993183,-0.236837045993183,0.216345203537225,-0.439260496472795,-0.439260496472795,0.00754288852736318,1170,FALSE
"Consuegra-Villacanas Aquifer",5495.59195239612,0.0984729643128143,140.561059803656,0,332.3278742987,3.5708553994708,1536.11220557414,1,0.273816625854243,39.4916729079624,-3.40965184189208,1056.33391425787,33.0081443213852,"ESP","Spain",0.00112327840945168,"ctrl",0.0319633231915149,0.0319633231915149,0.276261285748187,0.276261285748187,0.275373809677831,0.0319633231915149,0.0285606621301448,0.0266300159945917,0.0319633231915149,0.0285606621301448,0.0266300159945917,0.276261285748187,0.204273716303289,0.204273716303289,-0.256342136757754,0.232120049288641,0.232120049288641,0.00139717813554863,1171,FALSE
"Ayamonte-Huelva Coastal Aquifer",6323.24519780743,0,457.543994280267,0,593.89304099142,2.80065538608198,261.472456084136,1,0.0551112891603067,37.2549713628052,-7.2912399771168,1124.12727558663,41.0415586716513,"ESP","Spain",0.00652979236616718,"ctrl",0,0.0102656162638752,0.0554759663266352,0.0553603943382437,0.0425184838375386,0,0,0,0.0102656162638752,0.0102656162638752,0,0.0554759663266352,0.0454915849528468,NA,NA,0.0454915849528468,NA,NA,1172,TRUE
"Norfolk Chalk Aquifer",8397.94141074574,0,205.532490172261,0.000526034462065221,1104.68652470849,1.47239953347577,3385.10505485967,1,0.388486871051234,52.7279007898503,1.11670538881466,574.431632951358,58.2915209746348,"GBR","United Kingdom",0.00376133184622465,"ctrl",0,0.0329693761052017,0.387657383006379,0.1248516398551,0,0,0,0,0.0329693761052017,0,0,0.387657383006379,0.141337879851862,NA,0.144376840623688,NA,NA,-0.249654403298283,1200,FALSE
"Thames Valley and London Basin",8002.15339956303,0,522.283240220103,0.0588388932607679,3742.4241909709,3.51623923026693,7286.47943851039,1,0.163485579386876,51.5181592554372,-0.509730832889153,599.852648201986,59.7381470379101,"GBR","United Kingdom",0.0262541493981925,"ctrl",0,0.000933634868444788,0.164932290461795,0.0038320129976552,0,0,0,0,0.000933634868444788,0,0,0.164932290461795,-0.772938126152904,NA,0.164253973518601,NA,NA,0.0280417934774682,1201,FALSE
"Hertfordshire and Cambridgeshire Chalk Aquifer",8354.91638029306,0,417.566747000495,0,1987.64443900788,1.81189704083492,2317.30058184396,1,0.361780036518267,51.9446868092357,-0.013188390691668,585.63424475082,56.1251144319342,"GBR","United Kingdom",0.0118415648695443,"ctrl",0,0.00784042520811495,0.361907291661008,0.129582728986772,0,0,0,0,0.00784042520811495,0,0,0.361907291661008,-0.31264794945398,NA,-0.0467072831142226,NA,NA,0.266505705097454,1202,FALSE
