"code","CC_1","CC_2","name","ArrangementScore","CR3_B1_1","GW_B1_1","GW3_B1_1","UR_B1_1","Area_B1_1","IR_B1_1","IR3_B1_1","CR3_B1_2","GW_B1_2","GW3_B1_2","UR_B1_2","Area_B1_2","IR_B1_2","IR3_B1_2","CR3_B2_1","GW_B2_1","GW3_B2_1","UR_B2_1","Area_B2_1","IR_B2_1","IR3_B2_1","CR3_B2_2","GW_B2_2","GW3_B2_2","UR_B2_2","Area_B2_2","IR_B2_2","IR3_B2_2","CR3_1","GW_1","GW3_1","UR_1","Area_1","IR_1","IR3_1","CR3_2","GW_2","GW3_2","UR_2","Area_2","IR_2","IR3_2","CR3_C_1","GW_C_1","GW3_C_1","UR_C_1","Area_C_1","IR_C_1","IR3_C_1","CR3_C_2","GW_C_2","GW3_C_2","UR_C_2","Area_C_2","IR_C_2","IR3_C_2","CR3_B11_1","GW_B11_1","GW3_B11_1","UR_B11_1","Area_B11_1","IR_B11_1","IR3_B11_1","CR3_B11_2","GW_B11_2","GW3_B11_2","UR_B11_2","Area_B11_2","IR_B11_2","IR3_B11_2","CR3_B22_1","GW_B22_1","GW3_B22_1","UR_B22_1","Area_B22_1","IR_B22_1","IR3_B22_1","CR3_B22_2","GW_B22_2","GW3_B22_2","UR_B22_2","Area_B22_2","IR_B22_2","IR3_B22_2","has_river_border"
"AF009","BWA","ZAF","Tuli Karoo Sub-Basin",2,0.00511118839669283,0.000484299364095225,0.000107437049280133,0,1101808467.27279,0.0119986781615381,0.00422812728636057,0.302720779867874,0.0134256914312602,0.0126687610360044,0,731668772.167647,0.145549579124854,0.13551832462,0.00511118839669283,0.000484299364095225,0.000107437049280133,2.39941481875,3835264528.55294,0.0119986781615381,0.00422812728636057,0.302720779867874,0.0134256914312602,0.0126687610360044,0,1434334133.5902,0.145549579124854,0.13551832462,0.00511118839669283,0.000484299364095225,0.000107437049280133,2.39941481875,3835264528.55294,0.0119986781615381,0.00422812728636057,0.302720779867874,0.0134256914312602,0.0126687610360044,0,1434334133.5902,0.145549579124854,0.13551832462,0.00518828918269308,0.00149565058831661,0.000108010983933658,102.700885441765,577880618550.311,0.0267169631639609,0.00431277697504037,270.236683531941,2.17458564197634,1.56332816133476,1998.35514863902,1219699581630.85,26.7980008099093,18.9429219932553,0.00511118839669283,0.000484299364095225,0.000107437049280133,0,598274733.879657,0.0119986781615381,0.00422812728636057,0.29483374596425,0.0134256914312602,0.0126687610360044,0,390116860.978922,0.145549579124854,0.13551832462,0.00511118839669283,0.000484299364095225,0.000107437049280133,2.39941481875,3835264528.55294,0.0119986781615381,0.00422812728636057,0.302720779867874,0.0134256914312602,0.0126687610360044,0,1434334133.5902,0.145549579124854,0.13551832462,TRUE
"AF009","BWA","ZWE","Tuli Karoo Sub-Basin",2,0.00511118839669283,0.000484299364095225,0.000107437049280133,0,1101808467.27279,0.0119986781615381,0.00422812728636057,0.0212432277036209,0.000718888594505445,0.000718888594505445,0,1172691876.03407,0.00752357550981377,0.00752357550981377,0.00511118839669283,0.000484299364095225,0.000107437049280133,2.39941481875,3835264528.55294,0.0119986781615381,0.00422812728636057,0.0383134286911082,0.000837067132504203,0.000718888594505445,0,7013396207.7598,0.00854885059716674,0.00752357550981377,0.00511118839669283,0.000484299364095225,0.000107437049280133,2.39941481875,3835264528.55294,0.0119986781615381,0.00422812728636057,0.0383134286911082,0.000837067132504203,0.000718888594505445,0,7013396207.7598,0.00854885059716674,0.00752357550981377,0.00518828918269308,0.00149565058831661,0.000108010983933658,102.700885441765,577880618550.311,0.0267169631639609,0.00431277697504037,14.9814247268915,0.4905441091863,0.152068783686881,208.928684922108,390675884574.905,4.52393223806007,1.39259867670155,0.00511118839669283,0.000484299364095225,0.000107437049280133,0,598274733.879657,0.0119986781615381,0.00422812728636057,0.0212432277036209,0.000718888594505445,0.000718888594505445,0,622638341.81152,0.00752357550981377,0.00752357550981377,0.00511118839669283,0.000484299364095225,0.000107437049280133,2.39941481875,3835264528.55294,0.0119986781615381,0.00422812728636057,0.0383134286911082,0.000837067132504203,0.000718888594505445,0,7013396207.7598,0.00854885059716674,0.00752357550981377,TRUE
"AF009","ZAF","ZWE","Tuli Karoo Sub-Basin",2,0.302720779867874,0.0134256914312602,0.0126687610360044,0,731668772.167647,0.145549579124854,0.13551832462,0.0212432277036209,0.000718888594505445,0.000718888594505445,0,1172691876.03407,0.00752357550981377,0.00752357550981377,0.302720779867874,0.0134256914312602,0.0126687610360044,0,1434334133.5902,0.145549579124854,0.13551832462,0.0383134286911082,0.000837067132504203,0.000718888594505445,0,7013396207.7598,0.00854885059716674,0.00752357550981377,0.302720779867874,0.0134256914312602,0.0126687610360044,0,1434334133.5902,0.145549579124854,0.13551832462,0.0383134286911082,0.000837067132504203,0.000718888594505445,0,7013396207.7598,0.00854885059716674,0.00752357550981377,270.236683531941,2.17458564197634,1.56332816133476,1998.35514863902,1219699581630.85,26.7980008099093,18.9429219932553,14.9814247268915,0.4905441091863,0.152068783686881,208.928684922108,390675884574.905,4.52393223806007,1.39259867670155,0.29483374596425,0.0134256914312602,0.0126687610360044,0,390116860.978922,0.145549579124854,0.13551832462,0.0212432277036209,0.000718888594505445,0.000718888594505445,0,622638341.81152,0.00752357550981377,0.00752357550981377,0.302720779867874,0.0134256914312602,0.0126687610360044,0,1434334133.5902,0.145549579124854,0.13551832462,0.0383134286911082,0.000837067132504203,0.000718888594505445,0,7013396207.7598,0.00854885059716674,0.00752357550981377,TRUE
"AF010","BWA","NAM","Northern Kalahari / Karoo Basin / Eiseb Graben Aquifer",0,0,0,0,0,486440698.950735,0,0,0,0,0,0,534112810.044363,0,0,0,0,0,0,3516782753.88015,0,0,0,0,0,0,7151260589.41348,0,0,0,0,0,0,3516782753.88015,0,0,0,0,0,0,7151260589.41348,0,0,0.00518828918269308,0.00149565058831661,0.000108010983933658,102.700885441765,577880618550.311,0.0267169631639609,0.00431277697504037,0.480699535977902,0.0205627750226786,0.000421589419071539,39.8937409972549,823842456735.694,0.151176362423873,0.112126782472121,0,0,0,0,235260737.035784,0,0,0,0,0,0,212015679.773039,0,0,0,0,0,0,3516782753.88015,0,0,0,0,0,0,7151260589.41348,0,0,FALSE
"AF012","BWA","ZWE","Eastern Kalahari Karoo Basin",1,0,0,0,0.879946746446079,3275465844.74142,0,0,0,0,0,0,3242616498.0951,0,0,0,0,0,1.90694707769608,38347934324.8363,0,0,0.0210198115686063,0,0,0,25486675309.1892,0,0,0,0,0,5.15395475894608,84192190606.6076,0,0,0.0387686993821607,1.5685572556431e-05,0,0.37620075,44289146142.611,0.000257437046210095,0,0.00518828918269308,0.00149565058831661,0.000108010983933658,102.700885441765,577880618550.311,0.0267169631639609,0.00431277697504037,14.9814247268915,0.4905441091863,0.152068783686881,208.928684922108,390675884574.905,4.52393223806007,1.39259867670155,0,0,0,0.879946746446079,1567974740.96667,0,0,0,0,0,0,1842887219.1348,0,0,0,0,0,2.83775754019608,72288411387.6216,0,0,0.0387686993821607,1.5685572556431e-05,0,0,43389206856.7049,0.000257437046210095,0,FALSE
"AF013","AGO","NAM","Cuvelai and Etosha Basin / Ohangwena Aquifer System",2,0,0,0,0,1670251420.54877,0,0,0,0,0,0,1435480873.85466,0,0,0,0,0,0,14403810863.8828,0,0,0,0,0,0,10911262356.0512,0,0,0,0,0,0,30393820985.9052,0,0,0,0,0,0,10911262356.0512,0,0,0.0737892229609872,0.0301933114632925,0.000236677781340216,339.166802872672,1247423013317.48,0.164412092852753,0.00118338772331336,0.480699535977902,0.0205627750226786,0.000421589419071539,39.8937409972549,823842456735.694,0.151176362423873,0.112126782472121,0,0,0,0,915297517.768382,0,0,0,0,0,0,653897201.934068,0,0,0,0,0,0,27436039725.3444,0,0,0,0,0,0,10911262356.0512,0,0,FALSE
"AF014","AGO","NAM","Nata Karoo Sub-basin / Caprivi Lower Aquifer",0,0,0,0,0,3052578776.48456,0,0,0,0,0,1.73785532009804,7451939190.31961,0,0,0,0,0,0.3793755,13040068581.2002,0,0,0,0,0,1.73785532009804,15635485986.7792,0,0,0,0,0,0.3793755,13040068581.2002,0,0,0,0,0,1.73785532009804,15635485986.7792,0,0,0.0737892229609872,0.0301933114632925,0.000236677781340216,339.166802872672,1247423013317.48,0.164412092852753,0.00118338772331336,0.480699535977902,0.0205627750226786,0.000421589419071539,39.8937409972549,823842456735.694,0.151176362423873,0.112126782472121,0,0,0,0,1577379416.01838,0,0,0,0,0,1.64302747634804,3922665160.63799,0,0,0,0,0,0.3793755,13040068581.2002,0,0,0,0,0,1.73785532009804,15635485986.7792,0,0,TRUE
"AF014","AGO","ZMB","Nata Karoo Sub-basin / Caprivi Lower Aquifer",0,0,0,0,0,3052578776.48456,0,0,0,3.42257496441733e-05,0,1.43659491044118,4025679979.51593,0.00738975402377158,0,0,0,0,0.3793755,13040068581.2002,0,0,0,3.46211876107876e-05,0,1.43659491044118,27369219219.523,0.00745464739840922,0,0,0,0,0.3793755,13040068581.2002,0,0,0,3.46211876107876e-05,0,1.43659491044118,30094091356.6186,0.00745464739840922,0,0.0737892229609872,0.0301933114632925,0.000236677781340216,339.166802872672,1247423013317.48,0.164412092852753,0.00118338772331336,2.37356533805355,0.137128492331698,0,253.525674921226,750486228934.803,2.92811963680469,0,0,0,0,0,1577379416.01838,0,0,0,3.42257496441733e-05,0,1.43659491044118,2180655422.0549,0.00738975402377158,0,0,0,0,0.3793755,13040068581.2002,0,0,0,3.46211876107876e-05,0,1.43659491044118,30094091356.6186,0.00745464739840922,0,TRUE
"AF014","BWA","NAM","Nata Karoo Sub-basin / Caprivi Lower Aquifer",0,0,0,0,0.616062694926471,4045178954.9152,0,0,0,0,0,1.73785532009804,7451939190.31961,0,0,0,0,0,0.616062694926471,20706821577.5926,0,0,0,0,0,1.73785532009804,15635485986.7792,0,0,0,0,0,0.616062694926471,20708196371.1581,0,0,0,0,0,1.73785532009804,15635485986.7792,0,0,0.00518828918269308,0.00149565058831661,0.000108010983933658,102.700885441765,577880618550.311,0.0267169631639609,0.00431277697504037,0.480699535977902,0.0205627750226786,0.000421589419071539,39.8937409972549,823842456735.694,0.151176362423873,0.112126782472121,0,0,0,0.616062694926471,2042552981.20368,0,0,0,0,0,1.64302747634804,3922665160.63799,0,0,0,0,0,0.616062694926471,20708196371.1581,0,0,0,0,0,1.73785532009804,15635485986.7792,0,0,TRUE
"AF014","NAM","ZMB","Nata Karoo Sub-basin / Caprivi Lower Aquifer",0,0,0,0,1.73785532009804,7451939190.31961,0,0,0,3.42257496441733e-05,0,1.43659491044118,4025679979.51593,0.00738975402377158,0,0,0,0,1.73785532009804,15635485986.7792,0,0,0,3.46211876107876e-05,0,1.43659491044118,27369219219.523,0.00745464739840922,0,0,0,0,1.73785532009804,15635485986.7792,0,0,0,3.46211876107876e-05,0,1.43659491044118,30094091356.6186,0.00745464739840922,0,0.480699535977902,0.0205627750226786,0.000421589419071539,39.8937409972549,823842456735.694,0.151176362423873,0.112126782472121,2.37356533805355,0.137128492331698,0,253.525674921226,750486228934.803,2.92811963680469,0,0,0,0,1.64302747634804,3922665160.63799,0,0,0,3.42257496441733e-05,0,1.43659491044118,2180655422.0549,0.00738975402377158,0,0,0,0,1.73785532009804,15635485986.7792,0,0,0,3.46211876107876e-05,0,1.43659491044118,30094091356.6186,0.00745464739840922,0,TRUE
"AF016","ZMB","ZWE","Medium Zambesi Aquifer",0,0.046211004190093,0.00417846537528047,0,0.592138935465686,880771748.413235,0.0379652628401643,0,0.0210694701753262,0,0,0.253699221176471,1242419099.44583,0,0,0.046211004190093,0.00582661397510852,0,0.592138935465686,5190373583.3223,0.0511398643040322,0,0.0210694701753262,0,0,0.253699221176471,4210268384.01226,0,0,0.046211004190093,0.00582661397510852,0,0.592138935465686,5190373583.3223,0.0511398643040322,0,0.0210694701753262,0,0,0.253699221176471,4210268384.01226,0,0,2.37356533805355,0.137128492331698,0,253.525674921226,750486228934.803,2.92811963680469,0,14.9814247268915,0.4905441091863,0.152068783686881,208.928684922108,390675884574.905,4.52393223806007,1.39259867670155,0.0189031532761368,3.96005244078037e-05,0,0.592138935465686,341514037.970588,0.000291723876751268,0,0.0210694701753262,0,0,0.253699221176471,501376794.097304,0,0,0.046211004190093,0.00582661397510852,0,0.592138935465686,5190373583.3223,0.0511398643040322,0,0.0210694701753262,0,0,0.253699221176471,4210268384.01226,0,0,TRUE
"AF017","MOZ","MWI","Shire colluvium aquifer",0,0,0,0,0.42323034379902,1060056695.93676,0,0,0,0,0,13.9087192933824,833163510.063235,0,0,0,0,0,1.1346370177451,2168442325.66373,0,0,1.53815877792772,0.000263258010718622,0,34.6135417736275,2796865087.33088,0.524058270864259,0,0,0,0,1.1346370177451,2168442325.66373,0,0,1.53815877792772,0.000263258010718622,0,34.6135417736275,2796865087.33088,0.524058270864259,0,2.30261628540028,0.0100964123702317,0,421.436170067279,787267440440.648,2.09123474601939,0,4.35364901252451,0.000736874366323195,4.03728808064371e-05,723.892960111153,118025218674.011,0.99589810401237,0.0779175024859725,0,0,0,0.42323034379902,566322819.785049,0,0,0,0,0,10.1966538378922,450876957.709559,0,0,0,0,0,1.1346370177451,2168442325.66373,0,0,1.53815877792772,0.000263258010718622,0,34.6135417736275,2796865087.33088,0.524058270864259,0,TRUE
"AF018","MOZ","ZMB","Arangua Alluvial",0,0,0,0,0,1531531276.9473,0,0,0,2.96872430624704e-05,0,0,1630154347.47892,0.00849650129506849,0,0,0,0,0,7018227093.73677,0,0,0,4.41672036385043e-05,0,0,11698343089.2735,0.00888170389969411,0,0,0,0,0,7018227093.73677,0,0,0,4.41672036385043e-05,0,0,11698343089.2735,0.00888170389969411,0,2.30261628540028,0.0100964123702317,0,421.436170067279,787267440440.648,2.09123474601939,0,2.37356533805355,0.137128492331698,0,253.525674921226,750486228934.803,2.92811963680469,0,0,0,0,0,787583190.503186,0,0,0,2.94692111512912e-05,0,0,768146960.650245,0.0071770549234868,0,0,0,0,0,7018227093.73677,0,0,0,4.41672036385043e-05,0,0,11698343089.2735,0.00888170389969411,0,TRUE
"AF019","MWI","ZMB","Bua River",0,0.00261953854932236,0,0,11.2992753781373,4044915547.32892,0,0,0,0,0,0.000378543259803921,545752030.252451,0,0,0.42184953432488,0,0,127.568030559289,17930468382.5488,0,0,0,0,0,0.000378543259803921,880190119.392647,0,0,0.42184953432488,0,0,127.568030559289,17930468382.5488,0,0,0,0,0,0.000378543259803921,880190119.392647,0,0,4.35364901252451,0.000736874366323195,4.03728808064371e-05,723.892960111153,118025218674.011,0.99589810401237,0.0779175024859725,2.37356533805355,0.137128492331698,0,253.525674921226,750486228934.803,2.92811963680469,0,0,0,0,6.18835422813726,2134721542.08309,0,0,0,0,0,0.000378543259803921,295435857.592892,0,0,0.42184953432488,0,0,127.568030559289,17930468382.5488,0,0,0,0,0,0.000378543259803921,880190119.392647,0,0,FALSE
"AF020","MOZ","TZA","Coastal Sedimentary Basin III",0,0.110530849245477,0,0,0,1231775145.88088,0,0,0.302624358821416,4.8597574822415e-06,0,2.43967795625,1370494941.91691,6.19060273396455e-05,0,0.110530849245477,0,0,3.12773376661765,8540725673.42843,0,0,2.3657920720595,1.36365573908615e-05,0,11.4024610037745,8138226890.55833,0.000173708983983499,0,0.112937001630803,2.74775115913988e-05,0,5.16314380355392,13962036483.7051,0.0118515740421022,0,2.3657920720595,1.36365573908615e-05,0,11.4024610037745,8138226890.55833,0.000173708983983499,0,2.30261628540028,0.0100964123702317,0,421.436170067279,787267440440.648,2.09123474601939,0,124.462060542337,0.192386872070984,0.0301449189325346,1154.60728576309,940566204824.47,2.5264701733996,0.930919506506641,0.110517950754387,0,0,0,678887412.47549,0,0,0.161882496363216,0,0,0,689272713.537745,0,0,0.112729548412908,2.74775115913988e-05,0,4.44818148232843,13037477942.8748,0.0118515740421022,0,2.3657920720595,1.36365573908615e-05,0,11.4024610037745,8138226890.55833,0.000173708983983499,0,TRUE
"AF021","MOZ","TZA","Karoo Sandstone Aquifer",0,0,0,0,0,797028463.215686,0,0,0.000183508187390185,0,0,0,813501655.629167,0,0,0,0,0,0,5920804629.89338,0,0,0.024416190957271,0,0,2.42094861372549,13908469906.3412,8.10720941415935e-05,0,0,0,0,0,5920804629.89338,0,0,0.0685192248673811,0,0,2.42094861372549,29764358569.3841,8.10720941415935e-05,0,2.30261628540028,0.0100964123702317,0,421.436170067279,787267440440.648,2.09123474601939,0,124.462060542337,0.192386872070984,0.0301449189325346,1154.60728576309,940566204824.47,2.5264701733996,0.930919506506641,0,0,0,0,370480988.053677,0,0,0.000183508187390185,0,0,0,388347313.610294,0,0,0,0,0,0,5920804629.89338,0,0,0.0684230988944221,0,0,2.42094861372549,28802308678.573,8.10720941415935e-05,0,TRUE
"AF022","COD","ZMB","Kalahari/Katangian Basin",0,0,0,0,4.09556681713235,2298428864.17623,0,0,0,0,0,0.11812490377451,1484552126.37451,0,0,0,0,0,6.32345205316176,4743322539.16029,0,0,0,0,0,0.11812490377451,2265698011.26446,0,0,0,0,0,6.32345205316176,4743322539.16029,0,0,0,0,0,0.11812490377451,2265698011.26446,0,0,11.5754608970443,0,0,1062.16595152272,2329111460950.44,0.0656661049545076,0,2.37356533805355,0.137128492331698,0,253.525674921226,750486228934.803,2.92811963680469,0,0,0,0,4.09556681713235,1248000419.96078,0,0,0,0,0,0.11812490377451,839866711.627451,0,0,0,0,0,6.32345205316176,4743322539.16029,0,0,0,0,0,0.11812490377451,2265698011.26446,0,0,FALSE
