system:index,CntrName,GW,HYBAS_ID,Ir,IrNeed0,IrNeed3,IrNeed6,OverGW0,OverGW3,OverGW6,OverIR0,OverIR3,OverIR6,area_km2,crp,dummy,lat,lev,lon,.geo
2_000000000000000015ce,United States of America,0.0966750978798735,7060074000,0.0966750978798735,0.13990819547394223,0.13919052904662566,0.13859662763399327,0.0966750978798735,0.09666978358710981,0.09666676147866055,0.0966750978798735,0.09666978358710981,0.09666676147866055,5894.28301942406,0.13990819547394223,,35.133229830476935,6,-118.93825951303926,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015cf,United States of America,0.0,7060633600,0.0,1.7630356893619237E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11599.5520258567,1.7630356893619237E-5,,36.10809872515085,6,-113.5986282240293,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015d1,United States of America,0.0,7060667030,0.0,2.536613433391645E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1208.19861610993,2.536613433391645E-4,,34.933828287938084,6,-111.79643263477783,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015d2,United States of America,0.0,7060662970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1239.01208329042,0.0,,35.162858286490824,6,-111.95582438865794,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015d3,United States of America,0.0,7060074530,0.0,3.1407287168052724E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9887.1019293538,3.1407287168052724E-6,,37.00437379720717,6,-115.68020945909467,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015d4,United States of America,0.02103193368797189,7060012950,0.02103193368797189,0.04764564271450937,0.04642981584588189,0.02594551616329861,0.02103193368797189,0.01194963202431775,0.006510430464349963,0.02103193368797189,0.01194963202431775,0.006510430464349963,4726.09512537445,0.04764564271450937,,34.91834610018493,6,-119.91153348943111,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000161d,United States of America,0.0,7060074080,3.29609285368372E-7,5.90628780007888E-5,2.6081020827024603E-6,6.302975016287907E-7,0.0,0.0,0.0,3.29609285368372E-7,0.0,0.0,21471.1040633334,5.90628780007888E-5,,34.2639820465004,6,-115.56474195561744,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000161e,United States of America,0.0,7060675400,0.002046077288253729,0.003878910129852771,0.0029569137219329373,0.0028123766448552396,0.0,0.0,0.0,0.002046077288253729,0.0017649740810209023,0.0017649740810209023,20091.7641180547,0.003878910129852771,,35.37859263100154,6,-114.6792353167388,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000161f,United States of America,0.0,7060627570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2211.45335243689,0.0,,36.22226780269369,6,-112.20740239350053,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001620,United States of America,0.029570659115985755,7060694070,0.029570659115985755,0.039166031285444936,0.039166031285444936,0.039166031285444936,0.029570659115985755,0.029570659115985755,0.029570659115985755,0.029570659115985755,0.029570659115985755,0.029570659115985755,65.2241185873354,0.039166031285444936,,33.35694131031679,6,-112.3264933823143,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001622,United States of America,0.0,7060620790,0.0,0.008658005273821393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9387992045288,0.008658005273821393,,36.65863354128778,6,-114.60349751951398,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001623,United States of America,0.0,7060561130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2206825066639,0.0,,39.17631753382325,6,-112.94409003791297,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000162d,United States of America,0.0,7060679070,0.0,0.34439307979558015,0.34439307979558015,0.34439307979558015,0.0,0.0,0.0,0.0,0.0,0.0,46.1000216397894,0.34439307979558015,,34.13717667222588,6,-98.24142184811738,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000164b,United States of America,0.0,7060675990,0.0017919177491277215,0.005658612155818801,0.0,0.0,0.0,0.0,0.0,0.0017919177491277215,0.0,0.0,233.456193610908,0.005658612155818801,,34.26857690660294,6,-106.74873730214654,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000164c,United States of America,0.0,7069007290,0.0,0.0031774349973126286,0.002324829983178856,4.723076681257487E-4,0.0,0.0,0.0,0.0,0.0,0.0,257.766107870743,0.0031774349973126286,,33.89997076842726,6,-96.68323194103786,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000164e,United States of America,0.028451375391995437,7060696750,0.028451375391995437,0.041439255491405126,0.041439255491405126,0.041439255491405126,0.028451375391995437,0.020350837130878145,0.020350837130878145,0.028451375391995437,0.020350837130878145,0.020350837130878145,216.275197937012,0.041439255491405126,,33.39395506879937,6,-112.78972489844101,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000164f,United States of America,0.0,7060047850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.4263959181165,0.0,,29.725652993444577,6,-93.87191466988118,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001650,United States of America,0.0,7060760990,0.0,1.0517749025240562E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.218885978795,1.0517749025240562E-4,,29.813280817357757,6,-93.8290559650393,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001682,United States of America,0.0,7060047840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.7554392969346,0.0,,29.738796436923273,6,-93.78840668157154,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001683,United States of America,0.0,7060047780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.416436457545,0.0,,29.781135800322915,6,-93.19718520066498,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001684,United States of America,0.006729960114222657,7060718500,0.006729960114222657,0.16490411744265632,0.13346972803130214,0.0,0.006729960114222657,0.0,0.0,0.006729960114222657,0.0,0.0,242.279915605717,0.16490411744265632,,32.35502483474597,6,-93.59558817122264,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000016d3,United States of America,1.9182078482176816E-4,7060778740,1.9391689063606555E-4,0.00884149282568699,0.001822856428906748,0.0,1.9182078482176816E-4,1.4705672307476327E-4,0.0,1.9391689063606555E-4,1.4705672307476327E-4,0.0,6298.16128569093,0.00884149282568699,,28.26818817256395,6,-99.40878054514955,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000016e6,United States of America,0.0,7060747500,1.3080150497650043E-5,0.015367695847471462,0.0017025930327529814,0.0,0.0,0.0,0.0,1.3080150497650043E-5,0.0,0.0,2061.99978542312,0.015367695847471462,,31.002633153413818,6,-98.49758136276851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000016e8,United States of America,0.005370290415867754,7060048490,0.010679271509332447,0.21636287792619086,0.21055858160674976,0.0,0.005370290415867754,0.0013203934096827554,0.0,0.010679271509332447,0.0013203934096827554,0.0,2624.79876543821,0.21636287792619086,,28.67804265525183,6,-96.7463159684135,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000016ea,United States of America,0.00563948251993211,7060048480,0.008583489877924557,0.12784773139956296,0.127844599428032,0.03652016000373163,0.00563948251993211,0.004653564238338364,0.0,0.008583489877924557,0.007585672514524297,0.0,5860.47040532186,0.12784773139956296,,29.32516382858043,6,-96.79432448140781,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000016ee,United States of America,0.0012718888968881298,7060730390,0.0012718888968881298,0.11146718689696523,0.10403693723491014,0.1029830413157214,0.0012718888968881298,0.0,0.0,0.0012718888968881298,0.0,0.0,6614.1470541838,0.11146718689696523,,31.964622578804608,6,-100.28229210039464,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000016f2,United States of America,0.002079182799319085,7060744170,0.0027662763969082574,0.12738563828185342,0.1265620012533893,0.11778980240158937,0.002079182799319085,0.0011204191539512785,4.973501184464967E-4,0.0027662763969082574,0.0011204191539512785,4.973501184464967E-4,19714.926974846,0.12738563828185342,,31.328916099501907,6,-97.9585747652282,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000016f3,United States of America,0.014568387370677413,7060048420,0.04362900130410426,0.3459794826936336,0.3459732968387585,0.06760394315898409,0.014568387370677413,0.014215826914155323,0.0,0.04362900130410426,0.04129761229690553,0.0,2557.69564794926,0.3459794826936336,,28.86454147715173,6,-96.28935589834246,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000016f7,United States of America,0.010678526534158512,7060752460,0.010678526534158512,0.08319818308700255,0.08317760068613045,0.06773264960658647,0.010678526534158512,0.006727320474765965,0.0,0.010678526534158512,0.006727320474765965,0.0,5729.67512526512,0.08319818308700255,,30.508036432183477,6,-96.7179914280342,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001951,Uruguay,0.0,6060016370,8.205279647609603E-4,0.11104456617195302,3.4788914298379347E-4,0.0,0.0,0.0,0.0,8.205279647609603E-4,0.0,0.0,13457.0234391936,0.11104456617195302,,-34.182404005473096,6,-56.11715278317498,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000f66,Uzbekistan,0.0,4060429520,0.15769788071787957,0.36658863200306047,0.2841282855121309,0.270825433735535,0.0,0.0,0.0,0.15769788071787957,0.15769788071787957,0.15769788071787957,3208.80278741842,0.36658863200306047,,40.2284073083817,6,67.9379706963646,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000f69,Uzbekistan,0.0,4060425390,0.0,0.004242736375443898,5.210866805675808E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091.53807452956,0.004242736375443898,,40.511954513117985,6,67.28149001325941,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000f72,Uzbekistan,0.0,4060470930,0.21581438611377807,0.31361361929795906,0.3101329271797176,0.3089909419780157,0.0,0.0,0.0,0.21581438611377807,0.11827717391080894,0.09806033292201395,5597.62841956404,0.31361361929795906,,40.08629370136719,6,65.30097866744097,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000f7c,Uzbekistan,0.0,4060051420,0.04506816910692333,0.05383432406338696,0.05366976490431654,0.053106129297726935,0.0,0.0,0.0,0.04506816910692333,0.0449190240295901,0.03129220972964808,13351.9393411269,0.05383432406338696,,40.57458317083388,6,63.62055508780976,"{""type"":""MultiPoint"",""coordinates"":[]}"
