system:index,CntrName,HYBAS_ID,area_km2,dummy,lat,lev,lon,.geo
2_0000000000000000139d,China,4040007660,14367.5659767404,,36.9942735490945,4,116.83191075471596,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000472,Finland,2040028660,25651.185311532,,62.38669814320943,4,25.925969415863683,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000473,Finland,2040028670,101133.165319179,,62.15061788448242,4,23.701560983322786,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000474,Finland,2040029950,21578.2902657418,,65.59470837624394,4,27.095818710697582,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000004a0,Finland,2040030070,296.993688652303,,65.98700947108394,4,24.373343932315265,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001a9,Germany,2040024180,921.42578555548,,53.71138821047705,4,9.74625181313123,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000007b,India,4040027100,135158.202159173,,21.291739201696924,4,82.90359133074006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000007d,India,4040027110,56993.1118835519,,18.90039152728179,4,83.89437146581783,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000e03,Iran,2040065840,3148.65836278098,,36.76999945463599,4,54.01667444162261,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000ef6,Iran,2040070520,27972.1343670128,,36.434826571257375,4,52.1323419107419,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000ef7,Iran,2040085570,93383.138304128,,35.82535662276017,4,56.90648769334697,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000ef8,Iran,2040085740,123552.339707495,,34.34098546787495,4,54.37002716476049,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000ef9,Iran,2040085780,33593.9294008308,,34.59309707803114,4,58.34275484629971,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000efa,Iran,2040085590,92386.8899757758,,34.900123009863606,4,50.29074054773593,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000f16,Iran,2040065960,11593.836464871,,37.19252955786241,4,55.326318426076924,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001429,Iran,2040085730,98567.1150856898,,31.17439608098557,4,53.31503650784067,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000142a,Iran,2040085930,31518.5803600068,,30.009855462470203,4,52.99190234709266,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000142b,Iran,2040085700,86893.6372798802,,31.681032745035246,4,54.77240291252187,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000142c,Iran,2040072920,47538.868902703,,28.413668117973565,4,52.99143948567618,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000142d,Iran,2040072600,21291.5748451514,,27.131825881094795,4,53.94453278184521,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000142e,Iran,2040072590,42039.072895997,,28.0657966615344,4,55.40588773648325,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001462,Iran,2040085630,72635.5705543744,,27.774545842294522,4,59.000381354683704,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001463,Iran,2040085620,183898.297653865,,31.031765303453245,4,58.46848610288137,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000df6,Kazakhstan,2040067570,73369.8268528789,,48.10321713245365,4,55.75073324210411,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000dff,Kazakhstan,4040050730,56668.6967265418,,46.71545665050398,4,64.32419241468833,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000e02,Kazakhstan,2040067660,2014.58655451777,,46.989097292496915,4,52.14483289383237,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000e04,Kazakhstan,2040067580,939.875374709927,,47.004689245032,4,52.75312492822345,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000e52,Kazakhstan,2040067290,20006.1000567255,,46.30142172595572,4,53.97620033075394,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000f08,Kazakhstan,4040234270,48084.5389945633,,45.31110443129077,4,74.14666289637734,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000f60,Kazakhstan,4040225300,2198.85695706248,,46.65278498117363,4,73.83817191414778,"{""type"":""MultiPoint"",""coordinates"":[]}"
