system:index,CC,CntryNm,GW,Ir,IrNeed0,IrNeed3,IrNeed6,OverGW0,OverGW3,OverGW6,OverIR0,OverIR3,OverIR6,Region,aq_id,code,countrs,crp,dummy,name,.geo
2_000000000000000001ff,DOM,Dominican Republic,0.0,0.0032291271516460152,0.018043592852206383,0.015401364949541151,0.011338404200270488,0.0,0.0,0.0,0.0032291271516460152,0.0025220679929944595,0.0025220679929944595,AMER,210,CB003,Dominican Republic; Haiti,0.018043592852206383,,Los Lagos,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000200,HTI,Haiti,0.0,0.0,0.0012709762245052538,0.0012138335163474074,9.263524986947422E-4,0.0,0.0,0.0,0.0,0.0,0.0,AMER,210,CB003,Dominican Republic; Haiti,0.0012709762245052538,,Los Lagos,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000201,DOM,Dominican Republic,0.0,2.4029995126783277E-5,0.0014682530114418198,0.0010370261631911664,0.0010370261631911664,0.0,0.0,0.0,2.4029995126783277E-5,0.0,0.0,AMER,211,CB004,Dominican Republic; Haiti,0.0014682530114418198,,Pedernales,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000202,HTI,Haiti,0.0,0.0,0.0106806974588229,0.002259466418424207,0.002259466418424207,0.0,0.0,0.0,0.0,0.0,0.0,AMER,211,CB004,Dominican Republic; Haiti,0.0106806974588229,,Pedernales,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000306,CAN,Canada,0.0375289885646576,0.048786671463972,0.21322609292258013,0.007275958323777823,0.0,0.0375289885646576,0.0,0.0,0.048786671463972,0.0,0.0,AMER,397,N001,Canada; United States of America,0.21322609292258013,,Abbotsford-Sumas,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000307,USA,United States,0.039630199065523015,0.039630199065523015,0.3294791341425062,0.21347544185880657,0.0,0.039630199065523015,0.0,0.0,0.039630199065523015,0.0,0.0,AMER,397,N001,Canada; United States of America,0.3294791341425062,,Abbotsford-Sumas,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000308,CAN,Canada,0.0,0.0013020544785316808,0.006240962605491026,0.004822287263288991,0.0023313437051339474,0.0,0.0,0.0,0.0013020544785316808,0.0,0.0,AMER,406,N002,Canada; United States of America,0.006240962605491026,,Okanagan-Osoyoos,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000309,USA,United States,0.0,0.0033090356890462876,0.014043148425857766,0.0,0.0,0.0,0.0,0.0,0.0033090356890462876,0.0,0.0,AMER,406,N002,Canada; United States of America,0.014043148425857766,,Okanagan-Osoyoos,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000030a,CAN,Canada,0.0,0.0,0.05528847218499313,0.008454365035434862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,398,N003,Canada; United States of America,0.05528847218499313,,Grand Forks,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000030b,USA,United States,0.0,0.0,0.0661920829733724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,398,N003,Canada; United States of America,0.0661920829733724,,Grand Forks,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000030c,CAN,Canada,0.0,6.0241122956037904E-5,0.25289681411128756,0.25289340786845743,0.19433992122070667,0.0,0.0,0.0,6.0241122956037904E-5,0.0,0.0,AMER,67,N004,Canada; United States of America,0.25289681411128756,,Eastend-Ravenscrag (Poplar),"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000030d,USA,United States,0.0,0.004902577946195845,0.14136985873585073,0.12436200972806301,1.247401077006228E-4,0.0,0.0,0.0,0.004902577946195845,0.0,0.0,AMER,67,N004,Canada; United States of America,0.14136985873585073,,Eastend-Ravenscrag (Poplar),"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000030e,CAN,Canada,0.0,0.0,0.44198192569306355,0.44198192569306355,0.19718787619654948,0.0,0.0,0.0,0.0,0.0,0.0,AMER,68,N005,Canada; United States of America,0.44198192569306355,,Estevan Valley Aquifer System,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000030f,USA,United States,0.0,0.0,0.2978301100559614,0.22296958297842423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,68,N005,Canada; United States of America,0.2978301100559614,,Estevan Valley Aquifer System,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000310,CAN,Canada,0.02169050712161656,0.02169050712161656,0.3734936395123761,0.0,0.0,0.02169050712161656,0.0,0.0,0.02169050712161656,0.0,0.0,AMER,71,N007,Canada; United States of America,0.3734936395123761,,Ch�teauguay,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000311,USA,United States,0.0,1.721068987185427E-4,0.11314416078234965,0.0,0.0,0.0,0.0,0.0,1.721068987185427E-4,0.0,0.0,AMER,71,N007,Canada; United States of America,0.11314416078234965,,Ch�teauguay,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000312,MEX,Mexico,3.627640617789019E-4,3.627640617789019E-4,0.002873614752867981,0.0012677628793025982,6.136786923002036E-4,3.627640617789019E-4,0.0,0.0,3.627640617789019E-4,0.0,0.0,AMER,329,N008,Mexico; United States of America,0.002873614752867981,,Tijuana - San Diego Aquifer,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000313,USA,United States,0.0,0.0015213569017283322,0.014061863237853354,0.0058785021958902865,0.005266615664965814,0.0,0.0,0.0,0.0015213569017283322,0.0,0.0,AMER,329,N008,Mexico; United States of America,0.014061863237853354,,Tijuana - San Diego Aquifer,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000314,MEX,Mexico,7.824501053382165E-4,7.824501053382165E-4,0.006919301354915407,0.0,0.0,7.824501053382165E-4,0.0,0.0,7.824501053382165E-4,0.0,0.0,AMER,340,N012,Mexico; United States of America,0.006919301354915407,,Nogales-Rio Santa Cruz Aquifer / Upper Santa Cruz Basin,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000315,USA,United States,2.1343643545805618E-4,2.1343643545805618E-4,0.003002024870881277,0.0013645935495931983,0.00112480597518156,2.1343643545805618E-4,8.865020855752525E-5,8.865020855752525E-5,2.1343643545805618E-4,8.865020855752525E-5,8.865020855752525E-5,AMER,340,N012,Mexico; United States of America,0.003002024870881277,,Nogales-Rio Santa Cruz Aquifer / Upper Santa Cruz Basin,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000316,MEX,Mexico,1.9371619301436756E-4,4.3515173573740394E-4,0.003441759869820196,0.0013098118664128632,0.0,1.9371619301436756E-4,0.0,0.0,4.3515173573740394E-4,0.0,0.0,AMER,339,N013,Mexico; United States of America,0.003441759869820196,,Rio San Pedro Aquifer / Upper San Pedro Basin,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000317,USA,United States,8.190529689099199E-4,8.292777207300849E-4,0.0032009710948357716,0.0,0.0,8.190529689099199E-4,0.0,0.0,8.292777207300849E-4,0.0,0.0,AMER,339,N013,Mexico; United States of America,0.0032009710948357716,,Rio San Pedro Aquifer / Upper San Pedro Basin,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000318,MEX,Mexico,1.1870001431898926E-4,1.1948264551733142E-4,4.6024041028236684E-4,3.110459706760278E-4,3.110459706760278E-4,1.1870001431898926E-4,9.112511148313401E-5,9.112511148313401E-5,1.1948264551733142E-4,9.19077426814762E-5,9.19077426814762E-5,AMER,333,N014,Mexico; United States of America,4.6024041028236684E-4,,Conejos Medanos Aquifer / Mesilla Bolson,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000319,USA,United States,0.0,0.0656739438933664,0.08256566046387769,0.08066969493692074,0.08066969493692074,0.0,0.0,0.0,0.0656739438933664,0.06521722373848686,0.06521722373848686,AMER,333,N014,Mexico; United States of America,0.08256566046387769,,Conejos Medanos Aquifer / Mesilla Bolson,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000031a,MEX,Mexico,0.015621684444915893,0.035240864831532964,0.06439814274049516,0.06314009858214771,0.06314009858214771,0.015621684444915893,0.015071720729568165,0.015071720729568165,0.035240864831532964,0.028969844785685258,0.028969844785685258,AMER,327,N015,Mexico; United States of America,0.06439814274049516,,Valle de Juarez Bolson / Hueco-Tularosa Bolson,"{""type"":""MultiPoint"",""coordinates"":[]}"
