system:index,CC,CntryNm,Region,aq_id,code,countrs,dummy,name,p0,p10,p100,p20,p30,p40,p50,p60,p70,p80,p90,.geo
2_00000000000000000177,CHN,China,ASIA,197,AS108,China; Mongolia,,Buir Lake / Khalkha River Aquifer,0.0010316963809355113,0.8803708552130841,60.82266643906937,2.1212469649692447,3.6194374985174167,5.119919638275645,7.126425122591637,9.89079976805993,17.64557966630556,30.127131447540307,43.63759396475261,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000178,MNG,Mongolia,ASIA,197,AS108,China; Mongolia,,Buir Lake / Khalkha River Aquifer,5.8046612759774487E-5,4.249516860214034,67.0492548983782,8.736234328910042,13.250137700849534,17.73458072908667,22.74191061668418,28.24756343145172,34.24653905603119,40.747607575214545,50.22169286445679,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000179,CHN,China,ASIA,196,AS109,China; Mongolia,,Zamyn-��d Basin,9.969481599822992E-4,2.3725468193275594,39.83068990217827,4.8923789726564015,7.375009288958835,10.121894515449956,12.633555157842732,15.36829630198073,18.377728074496403,21.87506465338829,27.6183832287747,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000017a,MNG,Mongolia,ASIA,196,AS109,China; Mongolia,,Zamyn-��d Basin,0.008518081515189083,6.234511562968903,93.37207338000422,11.756051708265797,18.25115523420234,24.727558778628875,31.747870332842414,38.761861741761166,47.2744974999232,56.76419716348598,68.77160892849531,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000017b,CHN,China,ASIA,195,AS110,China; Mongolia,,Onch Khairkhani Sair Aquifer,0.004904518139126696,3.8809553466484146,57.07474247697947,7.374469174186962,10.884271359770471,14.36696491029167,17.886254337035286,21.371149528955012,25.61590229092451,30.86598802209625,38.38201144187031,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000017c,MNG,Mongolia,ASIA,195,AS110,China; Mongolia,,Onch Khairkhani Sair Aquifer,0.004904518139126696,3.122189012033111,57.15099975625057,6.62189459865522,10.13021640062523,14.13336043205838,18.13117808953385,22.39082346893028,26.628254406066446,31.38258826098782,38.64404425918914,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000017d,CHN,China,ASIA,194,AS111,China; Mongolia,,Dankhan Khudgiin Sair Aquifer,5.887641943597218E-4,2.5668394864775075,31.290344182126354,4.680846105799798,6.9407921765992215,9.056722728138517,11.442211064929761,13.9401955506714,16.54609427589904,19.550682535350195,22.68292849488026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000017e,MNG,Mongolia,ASIA,194,AS111,China; Mongolia,,Dankhan Khudgiin Sair Aquifer,5.887641943597218E-4,5.26984171606596,81.82590511615264,10.755613953067602,16.235521373349496,22.220815127403565,27.758435443164693,33.7627862822754,40.73546578696647,48.227678217074505,57.23342102806729,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000017f,AFG,Afghanistan,ASIA,147,AS113,Afghanistan; Pakistan,,Kabul River Aquifer,0.3022038225663535,15.752554924838282,75.1238394604922,20.253973732976345,24.25409354233361,28.26697892907209,32.25888304325819,36.721499865304175,43.244299782968135,49.719499051809336,56.71316671509592,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000180,PAK,Pakistan,ASIA,147,AS113,Afghanistan; Pakistan,,Kabul River Aquifer,0.03264834382334435,9.419249829140567,59.01445016657308,17.148263479365987,24.615850713003027,32.38693147684085,38.608638935256266,42.36556237113249,45.599677327467575,48.62932721515552,51.86353254300674,"{""type"":""MultiPoint"",""coordinates"":[]}"
