system:index,CC,CS_max,CntryNm,GWIrKHaKm2,RDS_main,RDS_mainDist,RDS_tot,Region,STS,aq_id,area_km2,code,constant,countrs,crpkHaKm2,dummy,lat_c,lon_c,name,pet_mm,prec_mm,urbkHaKm2,.geo
2_000000000000000001f1,HND,7781.882126841765,Honduras,0.0,61.07273892027253,0.0,347.1062838506784,AMER,2.3065051540387853,357,65.1218221072435,C014,1.0,El Salvador; Honduras,0.002325488630735409,,14.441270804406493,-89.20333225692733,Ocotepeque-Citala,1267.2193382782457,113.29361035078529,0.008113092434191367,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001f2,SLV,7778.0,El Salvador,0.0,180.0,0.0,576.0,AMER,2.6930413281525967,357,10.731187903441839,C014,1.0,El Salvador; Honduras,2.0973279181372127E-4,,14.358435326699613,-89.19789716843694,Ocotepeque-Citala,1274.6786845851666,118.41308885392252,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001f3,GTM,9575.957648906797,Guatemala,8.980897103572633E-4,45.92479291107854,0.0,518.6722430406849,AMER,3.349385953172546,294,2152.342870121604,C015,1.0,El Salvador; Guatemala,0.010564527203306475,,14.418507317166615,-89.72716401543674,Ostua-Metap�n,1264.8708210546363,111.5617735772289,0.001608397915452337,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001f4,SLV,9399.9252883805,El Salvador,0.0,142.66347501505123,0.0,1143.4029042745342,AMER,4.151458157736306,294,787.6438282542538,C015,1.0,El Salvador; Guatemala,0.0057608885157046505,,14.250715164014949,-89.51107588754645,Ostua-Metap�n,1303.801987594184,116.32222396146926,0.0023028662746538246,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001f5,GTM,9824.023829789268,Guatemala,0.0,38.1223508879845,0.0,538.3015237236938,AMER,3.9350337240989637,293,1592.2456702154805,C016,1.0,El Salvador; Guatemala,0.009137853545169267,,14.096043324868116,-89.99253249745009,R�o Paz,1309.441392705549,142.16873349006755,0.004622578668360024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001f6,SLV,9747.794646995766,El Salvador,0.006456776174749404,219.3904557042702,0.0,2526.4758966336394,AMER,3.30926436931456,293,1048.8212415910548,C016,1.0,El Salvador; Guatemala,0.03651824317404754,,13.949826392885438,-89.7933611644181,R�o Paz,1291.8933732641935,147.8331335857711,0.011677542203614784,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001f7,HND,9231.97701970106,Honduras,0.0014835653452816638,0.0,0.12235517391534735,175.6354533638883,AMER,2.1497054246331704,215,891.6755185138366,C017,1.0,Honduras; Nicaragua,0.05349983186308553,,13.095110808834209,-87.14154571253601,Estero Real-R�o Negro,1597.9760856223504,131.2286488568859,6.332341008396895E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001f8,NIC,9269.06867560263,Nicaragua,0.0260956050332746,0.0,2.3732289226301013,276.7636012902076,AMER,2.7618369256666675,215,2916.791381580424,C017,1.0,Honduras; Nicaragua,0.022295396133490367,,13.02684540558535,-86.78596655737462,Estero Real-R�o Negro,1477.9897830223647,128.00463830843776,4.195411547014432E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001f9,CRI,9706.765240460603,Costa Rica,0.0,0.0,0.0,430.95532287198034,AMER,1.6511769022352691,219,136.84712222068316,C018,1.0,Costa Rica; Panama,1.3282501615253774E-4,,9.556090310300775,-82.66173946287411,Sixaola / Salinas Aquifer,1265.4819013116035,220.7705233071286,0.0017867856909008814,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001fa,PAN,7449.452434456937,Panama,0.0,0.0,0.27402371532730596,267.65482255559067,AMER,2.0653693752374735,219,355.70387527503067,C018,1.0,Costa Rica; Panama,3.7631335812483255E-4,,9.46893889207731,-82.59708377182149,Sixaola / Salinas Aquifer,1240.5534190628005,223.15178013649012,0.006441750527804921,"{""type"":""MultiPoint"",""coordinates"":[]}"
