system:index,CntrName,HYBAS_ID,area_km2,dummy,lat,lev,lon,p0,p10,p100,p20,p30,p40,p50,p60,p70,p80,p90,.geo
2_000000000000000010b7,China,4040449660,89959.0932400009,,41.84746509404977,4,86.74365060640818,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001122,China,4040006940,3748.08256765392,,39.91700932876071,4,119.30434822960063,375.9952396573164,407.4480075308527,458.8607368562011,419.2465475876918,423.70166413996395,427.29883465671537,431.2454580111475,437.77495692291393,442.23254354172485,446.29669065170793,450.7096041177813,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001123,China,4040007090,10043.7459788236,,39.463573701246204,4,118.12722393183736,440.9167095039505,458.49503615421224,618.727163583776,468.5106211985054,476.4895072082891,483.4986377989563,493.49474332038176,502.52438544165705,512.5350756214989,523.5073800457401,538.4904286340727,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001124,China,4040007670,3787.29318907682,,37.86122012262178,4,118.48131307202047,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001125,China,4040007380,9835.29858039977,,39.943471762178156,4,117.6007706307686,494.03527580231986,526.8153435787136,609.3022654673684,536.2514424944814,542.2666251264385,548.7012344871479,554.6883101102907,561.318949546307,571.2511087616083,582.2451318403755,594.2603067812488,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001126,China,4040007420,20346.5939250468,,37.6933903159552,4,116.77536303044042,585.7523867026131,621.107687528857,880.5836692539846,636.9599669816185,651.0287253321179,667.0541748222632,685.0223018987044,704.8932917479794,824.9909233368026,851.0328058317583,863.0214722330668,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000116d,China,4040012780,8104.61844826834,,23.07487410790169,4,113.39968241244905,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000139b,China,4040006580,37167.0848481755,,41.31332081969954,4,120.48017081793745,360.5285080077511,392.3525951249375,476.2029046499741,406.30595062143055,441.81003652708046,452.61749138614664,457.71189851856917,460.7260665940909,462.74855721929515,465.2514610011781,468.74612953564065,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000139c,China,4040009880,4421.93550415931,,32.34554979898763,4,120.00904641235874,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000139d,China,4040007660,14367.5659767404,,36.9942735490945,4,116.83191075471596,848.0878896007165,856.1205552024112,884.566006043315,858.1262225846709,860.3833873006631,862.6340041736044,865.3817501507561,868.1045870345483,870.8663865170906,874.6259854976445,879.8886241601149,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000472,Finland,2040028660,25651.185311532,,62.38669814320943,4,25.925969415863683,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000473,Finland,2040028670,101133.165319179,,62.15061788448242,4,23.701560983322786,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000474,Finland,2040029950,21578.2902657418,,65.59470837624394,4,27.095818710697582,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000004a0,Finland,2040030070,296.993688652303,,65.98700947108394,4,24.373343932315265,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001a9,Germany,2040024180,921.42578555548,,53.71138821047705,4,9.74625181313123,117.11786921963193,118.0038096170006,133.25323053529164,122.97912326331183,124.753141107745,125.71957916549843,126.1883249561357,126.6865404924579,128.27481409349846,131.67591461220314,132.13190061651363,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000007b,India,4040027100,135158.202159173,,21.291739201696924,4,82.90359133074006,473.2339105790705,491.70001120195434,594.0002455193841,500.6924103478167,512.7407644577816,523.6738229785923,533.2548089072842,545.8360699615862,556.8066041417846,562.1572676916056,577.2336322130988,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000007d,India,4040027110,56993.1118835519,,18.90039152728179,4,83.89437146581783,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000e03,Iran,2040065840,3148.65836278098,,36.76999945463599,4,54.01667444162261,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000ef6,Iran,2040070520,27972.1343670128,,36.434826571257375,4,52.1323419107419,120.24938053615715,120.98548059014462,234.94652663133076,121.24009924938969,122.23083214307542,132.71268010183638,232.72676680837782,233.2795374079802,233.83376110822627,234.00880481580606,234.38942759657917,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000ef7,Iran,2040085570,93383.138304128,,35.82535662276017,4,56.90648769334697,71.03952899588782,98.9765061055239,340.9871042845494,114.96871757357498,128.98387740752818,134.99604134769277,141.0246146184201,148.96918213078078,161.06214242411343,181.02322684975297,202.95174306286984,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000ef8,Iran,2040085740,123552.339707495,,34.34098546787495,4,54.37002716476049,84.75252541167339,108.9350209631612,474.26039498964275,126.78130247433073,155.21713641868752,212.89125137293243,244.94521965399375,271.14550777394555,280.88400167742225,291.0324910093278,312.9494200645788,"{""type"":""MultiPoint"",""coordinates"":[]}"
