system:index,CntrName,HYBAS_ID,area_km2,dummy,lat,lev,lon,p0,p10,p100,p20,p30,p40,p50,p60,p70,p80,p90,.geo
2_000000000000000015f4,United States of America,7050013180,11407.8485679693,,37.25073405242009,5,-121.7820177066277,562.5742149347989,616.5635946926701,760.882497928542,622.53304603944,626.5336285643434,629.486277941864,633.4741443945757,637.5072456541794,643.3761937860601,650.4312787386211,700.3386591730545,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015f6,United States of America,7050574760,5985.4799968604,,38.894419675765924,5,-120.72156743881054,756.4458079861115,782.1804520113589,801.9761738561036,784.8551211882024,788.7205583739992,790.6693241791918,792.4016838942221,793.9094283272736,795.3425997247399,796.8802566949585,799.1413009461703,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015f9,United States of America,7050570240,16191.7771006151,,39.68711814849702,5,-121.00355521065033,803.9402865068074,816.2685169107493,912.1119604276889,822.2582727659064,827.2510251181367,833.7508008249345,840.2620072785653,844.2477541703352,848.7564382912828,852.7435474126204,858.7289595845908,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015fa,United States of America,7050074270,3674.57461253946,,35.47874638351943,5,-113.82034120573793,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015fb,United States of America,7050012960,3689.71295379059,,35.803695224908196,5,-121.20565312535851,413.8953221148133,420.62083861614417,626.0442148503596,423.42785262478463,426.4945067520219,434.3510332912267,441.07386632949544,449.4987073917056,463.4936498922502,599.4761144035094,615.571257103815,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015fc,United States of America,7050587960,3841.13004106949,,38.50254193634498,5,-122.00205527175648,741.0525813116608,752.3092641210968,861.2632594613507,759.7593507636029,764.7863702748546,769.247641694838,774.2377545803838,777.2777089278828,781.2115119270046,785.7211610353936,792.7654750450771,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015fd,United States of America,7050574630,4504.4688515363,,38.921411561958635,5,-122.25300981158068,782.2803498783127,789.4457831361095,918.9857549991948,793.5797378231551,796.5310254747346,799.5205506622208,802.5232093513612,804.5592907735866,807.5477714094072,810.4656847559387,823.4728071813256,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015fe,United States of America,7050569840,3954.8881684577,,39.25686703940367,5,-122.17794334837097,807.225670023028,825.7705529875534,926.0096068117848,837.2224573232434,847.1556905361973,858.263795726541,867.244893727055,877.3346048036809,887.7763302533943,897.2314452988884,906.2539564835673,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001600,United States of America,7050013560,13987.544254282,,38.866578037208306,5,-123.10614190709303,755.3584832719708,784.5853212910083,943.5869605923947,794.677123987447,801.5177502687579,809.4743894522882,816.3762574126268,826.4976433652522,836.5841931736101,850.3956520817682,915.7025247994729,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001633,United States of America,7059007290,257.766107870743,,33.89997076842729,5,-96.68323194103796,642.7070544068442,642.7070544068442,642.7070544068442,642.7070544068442,642.7070544068442,642.7070544068442,642.7070544068442,642.7070544068442,642.7070544068442,642.7070544068442,642.7070544068442,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000164a,United States of America,7059004910,371.603451719051,,31.205494910199413,5,-94.2413892541825,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001654,United States of America,7050730390,6614.1470541838,,31.964622578804637,5,-100.28229210039483,238.1219353938725,239.39199538070395,298.2242104547857,274.34105689985023,283.0048958144392,283.24288545277193,284.46523544464156,286.19095339515445,291.39016301818793,292.41842446283204,295.1825150870247,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001656,United States of America,7050718850,26389.3190626776,,32.58263373656034,5,-102.5175626156874,202.12274755929946,274.45017827140816,368.9987663988392,293.4669135429056,300.4750642472967,309.5389308279867,316.4500777215132,324.4981472303659,331.51531883087955,338.4520560607991,346.4491648632522,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001657,United States of America,7050718740,12070.4692080021,,32.954659584581535,5,-101.8560502834264,277.44727999044363,329.71797168532106,399.86696629937956,345.810412237719,353.2167928235033,358.26131323026306,364.23277706846625,369.12187892679333,375.8605921724936,382.21929886908936,389.2124571402383,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001658,United States of America,7050701750,14901.3651787965,,32.68304348249655,5,-99.69618976109122,294.35642045579976,309.9604034200279,424.40391863192383,319.4182594483113,328.36741161025884,345.71310175714456,377.81237277443483,387.50044501699523,392.4638422767727,396.5980697708156,401.71156288454466,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001659,United States of America,7050744170,19714.926974846,,31.328916099501846,5,-97.95857476522825,325.40536534560334,347.3617375888008,429.6862740143823,353.705762161589,357.8641947563683,363.31447213310787,368.3747084271,372.25156645820624,376.1542570092817,382.31643587345815,389.61319900868494,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000165a,United States of America,7050696350,15648.3787694025,,33.56340281037861,5,-101.80662144989867,331.5975965591489,391.46197379393413,467.70458719541267,401.45914447712386,411.5016775651433,419.5055132784528,426.56192285900875,432.470123393394,439.5924033880875,446.4898887317643,452.50815746516787,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000165b,United States of America,7050048480,5860.47040532186,,29.32516382858041,5,-96.79432448140774,298.98777551847803,318.3766983246854,367.2491029926736,330.00121269787047,339.191502109857,346.3826802654075,349.2952113238692,351.7110261296098,354.73809325772845,357.7036540360735,363.30127289071015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000165d,United States of America,7050696340,13647.50545711,,33.83342061190719,5,-101.50079589379887,381.35393728516567,429.77943171473487,503.39532169070503,440.72531743616713,449.2514877998004,458.2875613028087,464.2579916739754,470.2738018527985,475.77315113942296,481.7559073488883,488.25529607024265,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000165e,United States of America,7050744090,22538.5687635169,,32.13352847039872,5,-97.72436686134962,388.4099640600328,399.7005991181248,466.3759678284048,405.8580224020517,410.33097465796544,420.9011009851392,427.7581526549699,432.3224775333369,436.2675651490564,442.18329499637457,454.8493471053377,"{""type"":""MultiPoint"",""coordinates"":[]}"
