"","Aquifer","CC","CS_max","CS_min","GWIrKHaKm2","RDS_main","RDS_mainDist","RDS_tot","STS","area_km2","compact","crpkHaKm2","elev","elong","lat_c","lon_c","m_per_year","ntl","perim_km","pet_mm","pop","prec_mm","slope","urbkHaKm2","nW","mean_dist_LB_km","mean_GWSlp","Broader","Details","TB","dist_to_LB_km"
"1120","Pampa del Tamarugal Aquifer","CHL",-0.778246982342292,-0.778246982342292,0,49.9879091261372,6.13351030643257,98.6300614809802,3.36787879050775,5079.21896082051,0.403949260429313,2.58760225964911e-07,1127.81920803475,1.97383294143593,-20.2100589082221,-69.6325103968084,0.06646528,0.328821627374301,397.502615870217,1245.93304510891,0.406011204829138,173.092841810154,0.752727117780198,0,16,104.308271803364,68.7509971799947,"-","Jasechko, S., Seybold, H., Perrone, D., Fan, Y., Shamsudduha, M., Taylor, R.G., Fallatah, O., Kirchner, J.W. (2024). Nature https://doi.org/10.1038/s41586-023-06879-8",FALSE,96.0306016661582
"1121","Panoche Valley","USA",8077.0683967451,3373.75869804266,0.0128769158932559,0,0,183.131867165164,1.61502089289641,71.4794597300527,0.35517895580839,0,414.539784473279,2.01793492008411,36.6192673626664,-120.861567524665,0.13546667,0.309776876064246,50.2888783991919,1251.19407434806,0.0323771865555934,313.436845559069,1.80544706872145,0,39,690.516871044286,99.3220294537715,"-","Jasechko, S., Seybold, H., Perrone, D., Fan, Y., Shamsudduha, M., Taylor, R.G., Fallatah, O., Kirchner, J.W. (2024). Nature https://doi.org/10.1038/s41586-023-06879-8",FALSE,691.610408920298
"1122","Papaghni Basin","IND",6995.69643145696,2158.85123295154,0.0128843069652256,0,0,328.504445082319,2.50445940039968,5552.34683516409,0.41919947454413,0.0395640431933644,260.093844793366,1.30851297182345,14.6595640416316,78.2636823204053,0.556875,0.650662641465016,407.974351510044,1538.97601107293,15.9565710869235,608.695517418081,1.08529051202115,0.00585737493933138,5,1377.74895070938,684.528575476958,"Cuddapah Sedimentary Basin","Jasechko, S., Seybold, H., Perrone, D., Fan, Y., Shamsudduha, M., Taylor, R.G., Fallatah, O., Kirchner, J.W. (2024). Nature https://doi.org/10.1038/s41586-023-06879-8",FALSE,1399.59655990431
"1123","Papaloapan Basin","MEX",6129.13515452921,1968.88863824741,1.78127941725055e-05,20.6061993750359,0.0149179706903126,513.846093380486,2.39863430099207,9397.75545122521,0.451572266671242,0.00972838537597934,55.8676401963947,1.03188847551948,18.0890644389026,-95.5981150548424,0.05746429,0.547015518124929,511.391341835133,1260.37355210219,4.46635949369501,1716.57433975451,0.453404263366744,0.00128627760036186,54,495.89776025339,66.690676571653,"Coastal Plain of Veracruz","Jasechko, S., Seybold, H., Perrone, D., Fan, Y., Shamsudduha, M., Taylor, R.G., Fallatah, O., Kirchner, J.W. (2024). Nature https://doi.org/10.1038/s41586-023-06879-8",FALSE,473.173703505586
"1124","Paradise Valley in northern Nevada","USA",2197.92498056763,412.711914370234,0.0104531949605598,11.9265141488624,22.5543145725326,62.3906614356841,4.45780025629713,1119.92668402551,0.439386220491208,0.00897429778569557,1380.82574158106,1.57281309594878,41.2692660987918,-117.575788793596,0.11363476,0.307489757316185,178.968464418738,1116.89695556832,0.0812350664906499,219.040468166327,1.42642346753637,0,3,1196.78647662427,94.1460781506011,"-","GebreEgziabher, M., Jasechko, S., Perrone, D. (2022). Nature Communications 13, 2129, doi.org/10.1038/s41467-022-29678-7",FALSE,1217.57596696772
"1125","Parker Valley","USA",202.106643332865,4.20691926942833,0.0109943266506514,0,0.394841242331224,263.722365539723,2.08496284575662,715.719274596454,0.41411012165166,0.0364087387167045,109.218028988924,1.45290098940852,33.9887168143257,-114.412559940121,-0.01455425,0.896824407301309,147.373149788266,1832.73163026393,1.00046610758984,157.056841347573,0.417331765986363,0,7,191.549620583015,-19.2731568953714,"Blythe Basin","Jasechko, S., Seybold, H., Perrone, D., Fan, Y., Shamsudduha, M., Taylor, R.G., Fallatah, O., Kirchner, J.W. (2024). Nature https://doi.org/10.1038/s41586-023-06879-8",FALSE,172.73623905691
"1126","Parowan Valley","USA",7208.16790978797,1928.10951975732,0.00757101397192883,169.768988410037,1.42834871503503,285.997339613239,1.85140011895385,384.081462667323,0.464864070882225,0.0156378485152001,1787.53360446238,1.06832221144076,37.9185108431407,-112.818975435246,0.53505111,0.603380573102184,101.895173915057,1163.72530477662,0.730315404838937,313.034189966663,1.80085550408299,0,46,741.024136522109,551.681819845266,"-","GebreEgziabher, M., Jasechko, S., Perrone, D. (2022). Nature Communications 13, 2129, doi.org/10.1038/s41467-022-29678-7",FALSE,740.776925938666
"1127","Paskapoo-Scollard","CAN",5866.2908379232,1125.19512365468,6.34544801814391e-09,7.08730820918766,79.4131723309931,76.311030268382,1.18564340976982,65500.2454833357,0.161137066740271,0.0116272010635293,1007.453765833,1.41629678989607,53.0511947917381,-115.432201550247,-0.01113134,1.70019204828523,2260.10527535887,522.577505004981,1.50299708658094,NA,1.20244232572177,0.000656002363370033,26,593.649972230646,-85.9472159162738,"-","GebreEgziabher, M., Jasechko, S., Perrone, D. (2022). Nature Communications 13, 2129, doi.org/10.1038/s41467-022-29678-7",FALSE,726.13922025149
"1128","Pauma Valley","USA",7844.0121034293,3615.51044914115,0.00908767716693779,0,0,252.573812580231,2.59366403814414,35.673011869212,0.192304459892401,0.000975204947571284,323.11883366954,1.0313425739117,33.3071995370778,-116.976395601371,0.17465386,1.60798916100975,48.2814320457444,1237.40232857643,3.76094666363044,334.650419462097,4.91725929840375,0,11,100.722260386352,460.06205363242,"-","Jasechko, S., Seybold, H., Perrone, D., Fan, Y., Shamsudduha, M., Taylor, R.G., Fallatah, O., Kirchner, J.W. (2024). Nature https://doi.org/10.1038/s41586-023-06879-8",FALSE,100.321137866088
"1129","Payette Valley","USA",6087.89878790818,1833.68005819345,0.007412371382816,61.4965279702833,1.64151941043067,587.850477490713,1.38855720186284,813.007909143095,0.297742121972567,0.0400892551879605,713.849344403171,2.70113435816105,43.9680102900452,-116.832494588731,0.00762,1.82562706929243,185.238893306853,975.432158522845,4.12879885484863,282.654879135988,1.18641878265986,0.00311376619381774,11,818.111580774264,-17.0242423715403,"-","GebreEgziabher, M., Jasechko, S., Perrone, D. (2022). Nature Communications 13, 2129, doi.org/10.1038/s41467-022-29678-7",FALSE,814.30270991613
