"unit_id","Aquifer","shapeGroup","q_min_cms","has_crossing_river","n_crossing_rivers","n_meander_rivers","max_q_crossing_cms","side","min_depth_km","n_border_points","n_reaches_window"
"Southwestern Chaco-Lower Parana Basin_BRA","Southwestern Chaco-Lower Parana Basin","BRA",300,FALSE,0,0,NA,NA,NA,NA,0
"Southwestern Chaco-Lower Parana Basin_PRY","Southwestern Chaco-Lower Parana Basin","PRY",300,FALSE,0,0,NA,NA,NA,NA,0
"Southwestern Chaco-Lower Parana Basin_URY","Southwestern Chaco-Lower Parana Basin","URY",300,FALSE,0,0,NA,NA,NA,NA,0
"Stampriet Kalahari Karoo Aquifer System_BWA","Stampriet Kalahari Karoo Aquifer System","BWA",300,FALSE,0,0,NA,NA,NA,NA,0
"Stampriet Kalahari Karoo Aquifer System_NAM","Stampriet Kalahari Karoo Aquifer System","NAM",300,FALSE,0,0,NA,NA,NA,NA,0
"Stampriet Kalahari Karoo Aquifer System_ZAF","Stampriet Kalahari Karoo Aquifer System","ZAF",300,FALSE,0,0,NA,NA,NA,NA,0
"Stockton Plateau_MEX","Stockton Plateau","MEX",300,FALSE,0,0,NA,NA,NA,NA,0
"Stockton Plateau_USA","Stockton Plateau","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Sundarbans and Southern Delta_BGD","Sundarbans and Southern Delta","BGD",300,FALSE,0,0,NA,NA,NA,NA,33
"Sundarbans and Southern Delta_IND","Sundarbans and Southern Delta","IND",300,FALSE,0,0,NA,NA,NA,NA,33
"Sylhet Basin_BGD","Sylhet Basin","BGD",300,FALSE,0,0,NA,NA,NA,NA,358
"Sylhet Basin_IND","Sylhet Basin","IND",300,FALSE,0,0,NA,NA,NA,NA,358
"Tijuana-San Diego Basin_MEX","Tijuana-San Diego Basin","MEX",300,FALSE,0,0,NA,NA,NA,NA,0
"Tijuana-San Diego Basin_USA","Tijuana-San Diego Basin","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Tournaisis Region Carbonate Aquifers_BEL","Tournaisis Region Carbonate Aquifers","BEL",300,FALSE,0,0,NA,NA,NA,NA,0
"Tournaisis Region Carbonate Aquifers_FRA","Tournaisis Region Carbonate Aquifers","FRA",300,FALSE,0,0,NA,NA,NA,NA,0
"Trans Gangetic Plain_IND","Trans Gangetic Plain","IND",300,FALSE,0,1,NA,NA,NA,NA,167
"Trans Gangetic Plain_PAK","Trans Gangetic Plain","PAK",300,FALSE,0,1,NA,NA,NA,NA,167
"Transboundary Judith River Aquifer_CAN","Transboundary Judith River Aquifer","CAN",300,FALSE,0,0,NA,NA,NA,NA,0
"Transboundary Judith River Aquifer_USA","Transboundary Judith River Aquifer","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Transboundary Odanah Shale_CAN","Transboundary Odanah Shale","CAN",300,FALSE,0,0,NA,NA,NA,NA,0
"Transboundary Odanah Shale_USA","Transboundary Odanah Shale","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Trebon Basin_AUT","Trebon Basin","AUT",300,FALSE,0,0,NA,NA,NA,NA,0
"Trebon Basin_CZE","Trebon Basin","CZE",300,FALSE,0,0,NA,NA,NA,NA,0
"Tuli Karoo Aquifer_BWA","Tuli Karoo Aquifer","BWA",300,FALSE,0,0,NA,NA,NA,NA,0
"Tuli Karoo Aquifer_ZAF","Tuli Karoo Aquifer","ZAF",300,FALSE,0,0,NA,NA,NA,NA,0
"Tuli Karoo Aquifer_ZWE","Tuli Karoo Aquifer","ZWE",300,FALSE,0,0,NA,NA,NA,NA,0
"Upper Gangetic Plain_IND","Upper Gangetic Plain","IND",300,TRUE,1,0,3270.54402821694,"upstream",29.3011624959148,4,756
"Upper Gangetic Plain_NPL","Upper Gangetic Plain","NPL",300,TRUE,1,0,3270.54402821694,"downstream",28.8548183002152,5,756
"Upper Peninsula Jacobsville Sandstone and Cambrian-Ordovician and Silurian-Devonian Aquifers_CAN","Upper Peninsula Jacobsville Sandstone and Cambrian-Ordovician and Silurian-Devonian Aquifers","CAN",300,FALSE,0,0,NA,NA,NA,NA,0
"Upper Peninsula Jacobsville Sandstone and Cambrian-Ordovician and Silurian-Devonian Aquifers_USA","Upper Peninsula Jacobsville Sandstone and Cambrian-Ordovician and Silurian-Devonian Aquifers","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Valle de Juarez and Hueco Bolson_MEX","Valle de Juarez and Hueco Bolson","MEX",300,FALSE,0,0,NA,NA,NA,NA,0
"Valle de Juarez and Hueco Bolson_USA","Valle de Juarez and Hueco Bolson","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Wadi As-Sirhan Basin_JOR","Wadi As-Sirhan Basin","JOR",300,FALSE,0,0,NA,NA,NA,NA,0
"Wadi As-Sirhan Basin_SAU","Wadi As-Sirhan Basin","SAU",300,FALSE,0,0,NA,NA,NA,NA,0
"West Jutland Quaternary and Tertiary Sand Aquifer System_DEU","West Jutland Quaternary and Tertiary Sand Aquifer System","DEU",300,FALSE,0,0,NA,NA,NA,NA,0
"West Jutland Quaternary and Tertiary Sand Aquifer System_DNK","West Jutland Quaternary and Tertiary Sand Aquifer System","DNK",300,FALSE,0,0,NA,NA,NA,NA,0
"Western Bengal Basin_BGD","Western Bengal Basin","BGD",300,FALSE,0,1,NA,NA,NA,NA,140
"Western Bengal Basin_IND","Western Bengal Basin","IND",300,FALSE,0,1,NA,NA,NA,NA,140
"Western Brahmaputra Basin Aquifer_BGD","Western Brahmaputra Basin Aquifer","BGD",300,TRUE,1,0,21380.6054856205,"upstream",15.5711512447358,1,49
"Western Brahmaputra Basin Aquifer_BTN","Western Brahmaputra Basin Aquifer","BTN",300,FALSE,0,0,NA,NA,NA,NA,49
"Western Brahmaputra Basin Aquifer_IND","Western Brahmaputra Basin Aquifer","IND",300,TRUE,1,0,21380.6054856205,"downstream",16.493141017076,1,49
"Western Carrizo-Wilcox_MEX","Western Carrizo-Wilcox","MEX",300,FALSE,0,0,NA,NA,NA,NA,0
"Western Carrizo-Wilcox_USA","Western Carrizo-Wilcox","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Willcox-Douglas Basin_MEX","Willcox-Douglas Basin","MEX",300,FALSE,0,0,NA,NA,NA,NA,0
"Willcox-Douglas Basin_USA","Willcox-Douglas Basin","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Williston Basin_CAN","Williston Basin","CAN",300,FALSE,0,0,NA,NA,NA,NA,364
"Williston Basin_USA","Williston Basin","USA",300,FALSE,0,0,NA,NA,NA,NA,364
"Yuma Basin_MEX","Yuma Basin","MEX",300,FALSE,0,0,NA,NA,NA,NA,14
"Yuma Basin_USA","Yuma Basin","USA",300,FALSE,0,0,NA,NA,NA,NA,14
