aq_code,CODE_2021,region_cod,twap_regio,aquifer,Confinement.description.,Lithology,Tr,S
AF1,AF001,AF1_ZAF,Southern-Eastern Africa,Karoo Sedimentary Aquifer,"7. Aquifer mostly semi-confined, but some parts unconfined",Sedimentary rocks - Sandstone,0.000231481,0.084844906
AF10,AF010,AF10_NAM,Southern-Eastern Africa,Northern Kalahari / Karoo Basin / Eiseb Graben Aquifer,"4. Aquifer mostly unconfined, but some parts confined",Sedimentary rocks - Sandstone,0.001736111,0.105318516
AF11,AF011,AF11_MOZ,Southern-Eastern Africa,Save Aluvial,1. Whole aquifer unconfined,Sediment - Sand,0,0.22
AF12,AF012,AF12_ZWE,Southern-Eastern Africa,Eastern KalahariKaroo Basin,2. Whole aquifer confined,Sedimentary rocks - Sandstone,0.002314815,0.14
AF13,AF013,AF13_NAM,Southern-Eastern Africa & Central-Western Africa,cuvelai and Ethosa Basin / Ohangwena Aquifer System,"6. Aquifer mostly confined, but some parts unconfined",Sediment - Sand,0.002546296,0.0734023
AF14,AF014,AF14_ZMB,Southern-Eastern Africa & Central-Western Africa,Nata Karoo Sub-basin / caprivi deep-seated Aquifer,"4. Aquifer mostly unconfined, but some parts confined",Sediment - Sand,0.002233796,0.16832994
AF16,AF016,AF16_ZMB,Southern-Eastern Africa,Medium Zambesi Aquifer,1. Whole aquifer unconfined,Sedimentary rocks - Sandstone,0.000299769,0.14
AF17,AF017,AF17_MWI,Southern-Eastern Africa,Shire Valley Alluvial Aquifer,"7. Aquifer mostly semi-confined, but some parts unconfined",Sediment - Sand,0.000582639,0.133261872
AF18,AF018,AF18_ZMB,Southern-Eastern Africa,Arangua Alluvial,1. Whole aquifer unconfined,Sediment - Sand,6.94E-05,0.22
AF19,AF019,AF19_MWI,Southern-Eastern Africa,Sand and Gravel Aquifer,3. Whole aquifer semi-confined,Metamorphic rocks,3.58E-05,0.040004572
AF20,AF020,AF20_TZA,Southern-Eastern Africa,coastal Sedimentary Basin III,"6. Aquifer mostly confined, but some parts unconfined",Sediment - Sand,0.009722222,0.06130936
AF21,AF021,AF21_TZA,Southern-Eastern Africa,Karoo Sandstone Aquifer,"6. Aquifer mostly confined, but some parts unconfined",Sedimentary rocks - Sandstone,3.00E-04,0.03512573
AF22,AF022,AF22_ZMB,Southern-Eastern Africa & Central-Western Africa,Kalahari/Katangian Basin/Lualaba,"4. Aquifer mostly unconfined, but some parts confined",Sedimentary rocks - Sandstone,0,0.105
AF23,AF023,AF23_AGO,Central-Western Africa & Southern-Eastern Africa,coango,"7. Aquifer mostly semi-confined, but some parts unconfined",Sedimentary rocks - Sandstone,0.023148148,0.084
AF24,AF024,AF24_MWI,Southern-Eastern Africa,Weathered Basement,3. Whole aquifer semi-confined,Metamorphic rocks,6.60E-05,0.040002286
AF25,AF025,AF25_COD,Southern-Eastern Africa & Central-Western Africa,Karoo-carbonate,8. No data (assumed unconfined),Sedimentary rocks - Sandstone,6.94E-05,0.14
AF26,AF026,AF26_TZA,Southern-Eastern Africa & Central-Western Africa,Tanganyika,"6. Aquifer mostly confined, but some parts unconfined",Sediment - Sand,0.000578704,0.0576289
AF27,AF027,AF27_AGO,Central-Western Africa,Dolomitic Aquifer Basin de Shiloango,1. Whole aquifer unconfined,Sedimentary rocks - Dolostone,0,0.14
AF29,AF029,AF29_CMR,Central-Western Africa,cuvette,8. No data (assumed unconfined),Sedimentary rocks - Sandstone,0,0.14
AF3,AF003,AF3_ZAF,Southern-Eastern Africa,coastal Sedimentary Basin VI / coastal Plain Sedimentary Basin Aquifer,1. Whole aquifer unconfined,Sediment - Sand,0.001157407,0.22
AF31,AF031,AF31_TZA,Southern-Eastern Africa,coastal Sedimentary Basin I / Karoo Sedimetary Aquifer,"6. Aquifer mostly confined, but some parts unconfined",Sedimentary rocks - Limestone,0.00018,0.035075438
AF32,AF032,AF32_TZA,Southern-Eastern Africa,Kilimanjaro Aquifer,"4. Aquifer mostly unconfined, but some parts confined",Crystalline rocks - Basalt,0.180555556,0.060001524
AF33,AF033,AF33_COG,Central-Western Africa,AF33,8. No data (assumed unconfined),Sediment - Sand,0,0.22
AF34,AF034,AF34_COG,Central-Western Africa,AF34,8. No data (assumed unconfined),Sediment - Sand,0,0.22
AF36,AF036,AF36_TZA,Central-Western Africa,Kagera Aquifer,"4. Aquifer mostly unconfined, but some parts confined",Sedimentary rocks - Sandstone,0.006944444,0.105031013
AF38,AF038,AF38_KEN,Southern-Eastern Africa,Merti Aquifer,2. Whole aquifer confined,Sedimentary rocks - Sandstone,0.00318287,0.000435864
AF39,AF039,AF39_UGA,Southern-Eastern Africa,Mount Elgon Aquifer,"6. Aquifer mostly confined, but some parts unconfined",Crystalline rocks - Basalt,0,0.02
AF4,AF004,AF4_SWZ,Southern-Eastern Africa,Rhyolite-Breccia Aquifer,2. Whole aquifer confined,Crystalline rocks - Basalt,0.92,1.43E-05
AF40,AF040,AF40_COG,Central-Western Africa,AF40,8. No data (assumed unconfined),Sediment - Sand,0,0.22
AF42,AF042,AF42_CMR,Central-Western Africa,Rio DelRey,8. No data (assumed unconfined),Sediment - Sand,0,0.22
AF43,AF043,AF43_ETH,Southern-Eastern Africa,Dawa,"7. Aquifer mostly semi-confined, but some parts unconfined",Sedimentary rocks - Limestone,0.000578704,0.084268224
AF44,AF044,AF44_ETH,Southern-Eastern Africa,Jubba,8. No data (assumed unconfined),Sediment - Sand,0,0.22
AF45,AF045,AF45_SOM,Southern-Eastern Africa,Shabelle,"4. Aquifer mostly unconfined, but some parts confined",Sedimentary rocks - Sandstone,0.000465,0.105064961
AF46,AF046,AF46_SSD,Southern-Eastern Africa & North Africa-Western Asia,Sudd Basin,"6. Aquifer mostly confined, but some parts unconfined",Sedimentary rocks - Sandstone,0.001273148,0.03525146
AF47,AF047,AF47_CIV,Central-Western Africa,Tano Basin,"4. Aquifer mostly unconfined, but some parts confined",Sediment - Sand,0.000256944,0.166069086
AF48L1,AF048,AF48L1_GHA,Central-Western Africa,Keta / Dahomey / Cotier basin aquifer,"4. Aquifer mostly unconfined, but some parts confined",Sediment - Sand,0.00066088,0.166770126
AF48L2,AF048,AF48L2_TGO,Central-Western Africa,Keta / Dahomey / Cotier basin aquifer,"6. Aquifer mostly confined, but some parts unconfined",Sedimentary rocks - Limestone,0.009502315,0.035678942
AF48L3,AF048,AF48L3_BEN,Central-Western Africa,Keta / Dahomey / Cotier basin aquifer,"6. Aquifer mostly confined, but some parts unconfined",Sediment - Sand,0.075,0.0628867
AF49,AF049,AF49_CIV,Central-Western Africa,cestos - Danane Aquifer,"6. Aquifer mostly confined, but some parts unconfined",Crystalline rocks - Granite,0.00011,0.020004001
AF5,AF005,AF5_NAM,Southern-Eastern Africa,SE Kalahri Karoo Basin / Stampriet Artesian Aquifer System,"6. Aquifer mostly confined, but some parts unconfined",Sedimentary rocks - Sandstone,0.000231481,0.03575438
AF51,AF051,AF51_CMR,Central-Western Africa,Aquifer Vallee de la Benoue,8. No data (assumed unconfined),Sediment - Sand,0,0.22
AF52,AF052,AF52_TCD,Central-Western Africa & North Africa-Western Asia,Lake chad Basin,"4. Aquifer mostly unconfined, but some parts confined",Sediment - Sand,0.0011,0.17428878
AF53,AF053,AF53_SSD,"Southern-Eastern Africa, North Africa-Western Asia & Central-Western Africa",Baggara Basin,"6. Aquifer mostly confined, but some parts unconfined",Sedimentary rocks - Sandstone,0.0021,0.03588011
AF54,AF054,AF54_BEN,Central-Western Africa,Volta Basin,"4. Aquifer mostly unconfined, but some parts confined",Sedimentary rocks - Sandstone,0.0072,0.10600584
AF56,AF056,AF56_MLI,North Africa-Western Asia & Central-Western Africa,Irhazer-Illuemeden Basin,"6. Aquifer mostly confined, but some parts unconfined",Sedimentary rocks - Sandstone,0.000694444,0.03550292
AF58,AF058,AF58_SEN,North Africa-Western Asia & Central-Western Africa,Senegalo-Mauretanian Basin,"6. Aquifer mostly confined, but some parts unconfined",Sediment - Sand,0.035196759,0.081289
AF59,AF059,AF59_ETH,Southern-Eastern Africa,Afar Rift valley / Afar Triangle Aquifer,"4. Aquifer mostly unconfined, but some parts confined",Crystalline rocks - Granite,0.020451389,0.060002096
AF6,AF006,AF6_ZAF,Southern-Eastern Africa,Khakhea/Bray Dolomite,"4. Aquifer mostly unconfined, but some parts confined",Sedimentary rocks - Dolostone,0.00025463,0.105
AF61,AF061,AF61_ETH,Southern-Eastern Africa & North Africa-Western Asia,Gedaref,1. Whole aquifer unconfined,Sedimentary rocks - Sandstone,5.79E-05,0.14
AF63,AF063,AF63_TCD,North Africa-Western Asia & Central-Western Africa,Nubian Sandstone Aquifer System (NSAS),"6. Aquifer mostly confined, but some parts unconfined",Sediment - Sand,0.138888889,0.0996913
AF64,AF064,AF64_MLI,North Africa-Western Asia & Central-Western Africa,Taoudeni Basin,"4. Aquifer mostly unconfined, but some parts confined",Sedimentary rocks - Sandstone,0.004565972,0.10533528
AF69,AF069,AF69_TBA,Northwest Sahara Aquifer System (NWSAS),Northwest Sahara Aquifer System (NWSAS),"6. Aquifer mostly confined, but some parts unconfined",Sediment - Sand,0.016990741,0.115044076
AF7,AF007,AF7_ZAF,Southern-Eastern Africa,Zeerust / Lobatse / Ramotswa Dolomite Basin Aquifer,"7. Aquifer mostly semi-confined, but some parts unconfined",Sedimentary rocks - Dolostone,0.011574074,0.084279624
AF70,AF070,AF70_TBA,North Africa-Western Asia,Systeme Aquifere d'Errachidia,"6. Aquifer mostly confined, but some parts unconfined",Sediment - Sand,0,0.055
AF71,AF071,AF71_BWA,Southern-Eastern Africa,Ncojane Basin,8. No data (assumed unconfined),Sediment - Sand,0,0.22
AF72,AF072,AF72_KEN,Southern-Eastern Africa,Rift Aquifer,8. No data (assumed unconfined),Sediment - Sand,0,0.22
AF73,AF073,AF73_ERI,Southern-Eastern Africa,Mereb,1. Whole aquifer unconfined,Crystalline rocks - Granite,0.00208,0.08
AF75,AF075,AF75_TBA,North Africa-Western Asia,Ain Beni Mathar,"6. Aquifer mostly confined, but some parts unconfined",Sedimentary rocks - Limestone,0,0.035
AF79,AF079,AF79_TBA,North Africa-Western Asia,Systeme Aquifere de la Djeffara,"6. Aquifer mostly confined, but some parts unconfined",Sediment - Sand,0.000162037,0.110259478
AF8,AF008,AF8_ZAF,Southern-Eastern Africa,Limpopo Basin,"4. Aquifer mostly unconfined, but some parts confined",Crystalline rocks - Granite,5.21E-05,0.06
AF80,AF080,AF80_TBA,North Africa-Western Asia,Triffa,1. Whole aquifer unconfined,Sediment - Gravel,0.01,0.19
AF81,AF081,AF81_AGO,Central-Western Africa & Southern-Eastern Africa,Aquifere cotier,8. No data (assumed unconfined),Sediment - Sand,0,0.22
AF82,AF082,AF82_COG,Central-Western Africa,AF82,8. No data (assumed unconfined),Sediment - Sand,0,0.22
AF83,AF083,AF83_UGA,Southern-Eastern Africa & Central-Western Africa,Aquifere du Rift,"6. Aquifer mostly confined, but some parts unconfined",Crystalline rocks - Granite,0,0.02
AF88,AF088,AF88_BFA,Central-Western Africa,Aquifer extension Sud-Est de Taoudeni,"6. Aquifer mostly confined, but some parts unconfined",Metamorphic rocks,4.00E-04,0.02020574
AF9,AF009,AF9_ZAF,Southern-Eastern Africa,Tuli Karoo Sub-Basin,"6. Aquifer mostly confined, but some parts unconfined",Crystalline rocks - Basalt,0.004861111,0.02002286
AS100,AS100,AS100_MNG,South-Eastern Asia-Pacific & Europe,Minj River Basin,8. No data (assumed unconfined),Sediment - Sand,0,0.22
AS101,AS101,AS101_MNG,South-Eastern Asia-Pacific & Europe,Balj River Basin,1. Whole aquifer unconfined,Sediment - Sand,0.000289352,0.22
AS102,AS102,AS102_MNG,South-Eastern Asia-Pacific & Europe,Onon River Basin,8. No data (assumed unconfined),Sediment - Sand,0,0.22
AS103,AS103,AS103_MNG,South-Eastern Asia-Pacific & Europe,Ulz River Basin,"4. Aquifer mostly unconfined, but some parts confined",Sediment - Sand,0.002314815,0.16543815
AS104,AS104,AS104_CHN,South-Eastern Asia-Pacific & Europe,Ercguna River,8. No data (assumed unconfined),Sediment - Sand,0,0.22
AS105,AS105,AS105_CHN,South-Eastern Asia-Pacific & Europe,Zeya River Basin,8. No data (assumed unconfined),Sediment - Sand,0,0.22
