"code","name","CC_1","CC_2","class","classF"
"AF063","Nubian Sandstone Aquifer System","SDN","TCD","IU1","IU1"
"AF064","Taoudeni-Tanezrouft Aquifer System / Système Aquifère de Taoudéni-Tanezrouft","BFA","MLI","DA","DA"
"AF064","Taoudeni-Tanezrouft Aquifer System / Système Aquifère de Taoudéni-Tanezrouft","DZA","MLI","UB","UB"
"AF064","Taoudeni-Tanezrouft Aquifer System / Système Aquifère de Taoudéni-Tanezrouft","MLI","MRT","UB","UB"
"AF067","Système Aquifère de Mourzouk - Djado / Murzuk-Djado Aquifer System","DZA","LBY","UB","UB"
"AF067","Système Aquifère de Mourzouk - Djado / Murzuk-Djado Aquifer System","DZA","NER","IU1","IU1"
"AF067","Système Aquifère de Mourzouk - Djado / Murzuk-Djado Aquifer System","LBY","NER","IU1","IU1"
"AF067","Système Aquifère de Mourzouk - Djado / Murzuk-Djado Aquifer System","LBY","TCD","IU1","IU1"
"AF067","Système Aquifère de Mourzouk - Djado / Murzuk-Djado Aquifer System","NER","TCD","IU0","IU0"
"AF068","Système Aquifère de Tindouf","DZA","ESH","UB","UB"
"AF068","Système Aquifère de Tindouf","DZA","MAR","UB","UB"
"AF068","Système Aquifère de Tindouf","DZA","MRT","IU1","IU1"
"AF068","Système Aquifère de Tindouf","ESH","MAR","UB","UB"
"AF068","Système Aquifère de Tindouf","ESH","MRT","IU1","IU1"
"AF069","North-Western Sahara Aquifer System / Système Aquifère du Sahara Septentrional","DZA","LBY","DA","DA"
"AF069","North-Western Sahara Aquifer System / Système Aquifère du Sahara Septentrional","DZA","TUN","DA","DA"
"AF069","North-Western Sahara Aquifer System / Système Aquifère du Sahara Septentrional","LBY","TUN","DA","DA"
"AF070","Système Aquifère d'Errachidia","DZA","MAR","UB","UB"
"AF072","Rift Aquifer","KEN","TZA","UB","DA"
"AF074; AF078","Nappe de la Plaine des Angad et de Maghnia; Nappe profonde de Jbel-Hamra","DZA","MAR","BL","DA"
"AF076","Chott Tigri-Lahouita","DZA","MAR","IU0","IU0"
"AF077","Figuig Oasis","DZA","MAR","IU1","IU1"
"AF079","Coastal Aquifer System of the Jeffara Plain / Système Aquifère Côtier de la Plaine de la Djeffara","LBY","TUN","DA","DA"
"AF081","Aquífero sedimentar costeiro do Rio Congo / Aquifère Côtier","AGO","COD","UB","UB"
