"","Aquifer","Country","area_km2","nWells","beta_AveDepletion","se_AveDepletion","p_AveDepletion","beta_distTrend","se_distTrend","p_distTrend","lat_c","lon_c","urbkHaKm2","CropSuitIndex","probBorderRiver","RDS_mainDist","SoitTerrainSuit","prec_mm","pet_mm","dist_to_LB_km","depletion_m_yr","TransboundaryAquifer"
"32","Anarak Basin","IRN",1404.60200865444,9,-20.8787662822167,10.9886568070841,0.0939637035287199,1.7729350840906,1.68131381517321,0.326687683830726,33.0732934507067,53.4923241701098,0,2512.84650549245,0,11.1378726494009,3.10296510745596,106.800665142256,1597.28615379365,584.306444735662,-0.01066239,FALSE
"33","Anderson Valley","USA",44.8353145386318,19,67.0570955634211,21.6613619701622,0.00623769709917805,-9.21972895497153,8.4461031162481,0.290240650112224,39.06991042506,-123.450313093668,0,8570.42270908228,0,0,3.51600759682561,1175.48572567394,930.806861088673,1141.20729877257,0.07398327,FALSE
"34","Animas Valley","USA",720.191070407345,4,81.0559386445675,68.0632163329188,0.319333878997707,1.74481759821137,12.4000127251433,0.900991207460368,31.9441092711451,-108.845354929272,0,4576.13164266246,0,2.41292253329744,2.0732739338766,309.806079501044,1482.7968457245,74.0044281661504,0.06591125,FALSE
"35","Antelope Basin","USA",81.4855935867848,29,155.106877137436,18.916912651057,6.3334153203334e-09,12.4603387442482,4.30843124774802,0.00747290360936324,40.1786303404088,-122.165242875821,0.00417097542371715,7501.62923946557,0,0,1.07508075172515,607.015673699217,1242.11626885876,1197.84110364046,0.17052925,FALSE
"36","Antelope Plain and Lost Hills","USA",1456.5583511819,75,292.565975227018,37.1515196692726,2.23216520010878e-11,-6.37979510138755,3.63939655838412,0.0838033843204296,35.595847041104,-119.790145910342,0,6867.46162888255,0,4.64249933575457,2.37504479033752,144.030039775675,1337.33744316957,507.370804510988,0.3271525,FALSE
"37","Antelope Valley","USA",8139.4333780108,517,113.489201869658,15.9824709461471,4.1296881939667e-12,0.504071159135068,0.636812395568068,0.428985408301325,34.8627907046031,-118.050139318479,0.00273930579625266,6707.24963610472,0,5.0455215475661,2.65558860307605,183.439124431117,1477.84754750364,328.410867411055,0.06651413,FALSE
"38","Antelope Valley near Topaz Lake","USA",282.280896568941,18,-32.0508282979867,40.600255003244,0.440736217931582,-10.6833046934261,5.70550823199271,0.0795358403955646,38.663480327542,-119.465179826186,0,4891.60357220177,0,4.56701526419687,2.43816843472613,363.828761833592,1135.08709587213,879.433936895803,0.00559984,FALSE
"39","Antigonish Basin","CAN",2224.55557311384,2,8.32251762994929,11.777708617192,0.608374569820424,0.4016255248186,NA,NA,45.5442834263676,-61.7289484098524,0.00019777711212653,8815.8054743405,0,12.4701152073536,2.16563752419368,1512.52207981769,515.270128397584,611.825369689564,0.00832252,FALSE
"40","Antlers Aquifer","USA",12610.3553103235,24,65.8184671398163,34.8450291865804,0.0715810507699805,-0.809592405173138,0.553174643987605,0.157462455408475,33.9880211435666,-95.7693248798654,7.59580894630543e-05,9055.90850381872,1,2.27572604908638,2.41035046691098,1182.78008048213,1135.41652428184,834.522384608829,0.06781767,FALSE
"41","Apalachicola Delta","USA",9869.27373010469,1,-56.932286,NA,NA,NA,NA,NA,30.1690307247471,-85.0275753370384,0.00129333646215186,8577.73095011756,1,8.18667433054917,2.90000257091439,1552.14810701805,1126.52030926292,1451.30077424984,-0.05693229,FALSE
"42","Aqda Basin","IRN",1222.54017689002,31,126.121095842379,29.1490498941307,0.000154489731414244,3.98460076721826,2.80423085440547,0.166002815316713,32.5345180273119,53.6338489671,0,1963.62976326698,0,9.99360826145685,3.1084297681247,99.2466040973723,1605.80857231856,649.642512936904,0.09428571,FALSE
"43","Arak Plain","IRN",3047.57924452265,52,703.437774331776,101.263846056734,6.60999556415019e-09,-23.6223177680672,7.4872746183585,0.00271642205193598,34.3196894425172,49.8148210772862,0.00238324785795533,4557.86651040949,0,4.22045263014755,3.40273202600516,350.784247386099,1191.94585899991,365.916005239352,0.40535619,FALSE
