aq_id,IGRAC_Code,AquiferName,CountryName,CountryCode,Region,lat_c,lon_c,RDS_mainDist,CSI,G_CSI,NearRiverBorder,Irrig,GWIrrig,IrrigNeed,Overdraft,OverIR6,G_Irrig,G_IrrigGW,gini_gwpct_gt0
330,N025,Laguna Salada Aquifer / Coyote Wells Valley,Mexico,MEX,AMER,32.1346182685702,-115.531663780953,16.6920109960448,304.121045982195,-0.914951265502693,FALSE,0,0,0,0,0,-0.191323266020238,NA,-0.191323266020238
330,N025,Laguna Salada Aquifer / Coyote Wells Valley,United States,USA,AMER,32.726930842619,-116.012074431514,0,6178.69244771572,0.943158640599066,FALSE,0,0,0,0,0,NA,NA,NA
368,N026,Valle de Mexicali - San Luis Rio Colorado Aquifer / Yuma - Imperial Valley,Mexico,MEX,AMER,32.029970997994,-114.595785469823,35.9134652650618,87.0269762670134,0.186870337716919,TRUE,0.0944568046228114,0,0.114687302865271,0.0943908468140189,0.0943908468140189,-0.419048674767785,NA,-0.419048674767785
368,N026,Valle de Mexicali - San Luis Rio Colorado Aquifer / Yuma - Imperial Valley,United States,USA,AMER,32.9268815205697,-115.297093776554,17.2431242822038,968.05714526219,0.417621354884627,TRUE,0.156943682618621,0,0.162544752309953,0.156561738514889,0.156561738514889,-0.173485171000247,NA,-0.173485171000247
341,N031,Sonoyta-Puerto Penasco Aquifer,Mexico,MEX,AMER,31.5467183851516,-113.141077001152,11.5616739293708,122.353300968702,0.227320259370816,FALSE,0,0,0,0,0,-0.179295260867327,-0.163746484166066,-0.163746484166066
341,N031,Sonoyta-Puerto Penasco Aquifer,United States,USA,AMER,32.0424612115413,-113.290832969276,18.841678235408,-1,0.916411287882996,FALSE,0,0,0,0,0,NA,NA,NA
336,N035,La Abra Plain,Mexico,MEX,AMER,31.8592031404675,-112.926741861223,0,1951.19570778574,0.889119878445782,FALSE,0,0,0,0,0,-0.398507627974559,-0.398507627974559,-0.398507627974559
336,N035,La Abra Plain,United States,USA,AMER,31.959415733631,-112.957433348524,0.00950427422980088,249.493242913597,0.787266655944778,FALSE,0,0,0,0,0,NA,NA,NA
338,N041,San Simon Wash,Mexico,MEX,AMER,31.493734830792,-111.848642170381,2.13155499189439,-1,0.275595172396494,FALSE,0,0,0,0,0,NA,NA,NA
338,N041,San Simon Wash,United States,USA,AMER,32.1047603115689,-112.094504062802,51.1105861242566,307.463162697012,0.852361761467615,FALSE,0.000572851606180666,0,0.0010892368337524,0,0,0.880543508694393,NA,0.969237597263807
