"iso3","energy","gdp_pc","agva","agland_km2","agva_ha"
"KOR",1.22,36238.639908315,27347868341.4321,15680,17441.2425646888
"KWT",0.35,32717.7186631255,789889497.898536,1500,5265.92998599024
"LAO",0.93,2123.97909415109,2767852768.82776,22872,1210.14898951896
"LBN",0.74,3477.72489842684,194050904.133849,6742.138,287.818054352861
"LBR",0.8,851.497723870206,1616967840,19230.4,840.839420916882
"LBY",0.11,6569.16408678648,1159801068.16594,153500,75.5570728446866
"LKA",NA,4515.56787322732,8213633487.85605,30069,2731.59516041639
"LSO",0.7,971.90771824829,147720154.9617,23607.48,62.5734533976943
"LTU",1.16,29384.0189598663,2183899588.94844,28730,760.146045578991
"LUX",1.19,137781.681659123,195410805.067187,1329.982,1469.27405834956
"LVA",1.16,23409.0845154775,1765800908.62109,19710,895.890871953876
"MAR",0.99,4153.1943359375,16972291769.8482,297882.659,569.764343678972
"MDA",0.8,7576.19589413326,1293414044.67226,24400,530.087723226336
"MDG",NA,544.987501003384,3912274861.99351,408950,95.6663372537843
"MEX",0.73,14185.7812248529,69140535233.8707,985454.116,701.610903149048
"MKD",1.11,9291.85661671864,1031158628.9677,12510,824.267489182814
"MLI",1.12,1094.61949265799,8909677884.2033,432794.888,205.863750502601
"MMR",0.54,1359.05001560107,15431530794.9173,129973.32,1187.28449768901
"MNE",1.16,13263.3281277699,288908409.755,2635.2,1096.34338856633
"MNG",0.72,6750.6301157724,1734848516.22436,1074672.457,16.1430443752813
"MOZ",0.65,656.776824637306,5726476571.47328,415123.32,137.946395578868
"MRT",1.13,2110.12036938187,2108641383.22711,397100,53.1010169535913
"MWI",1.15,522.570393642547,3595764243.28878,60500,594.341197237815
"MYS",0.45,11874.4273684245,34320586273.8363,85710,4004.26861204484
"NAM",0.76,4413.12752211572,975005966.06691,388120,25.1212502851415
"NER",0.88,735.270255787226,6849729282.80216,465985,146.994630359393
"NGA",0.46,1084.16041805436,65268559713.1048,693982.088,940.493434077002
"NIC",0.91,2847.53966339498,2838199834.53609,50910,557.493583684166
"NLD",1.68,67520.4218956281,21014416800.7812,18030,11655.250582796
"NOR",1.78,86785.4334489176,10039146956.1846,9820,10223.1639065016
"NPL",0.91,1447.31004458428,9386213890.3037,37441,2506.9346145412
"OMN",0.45,20285.2272897377,2788899960.15615,14717.3,1894.98070988303
"PAK",0.79,1478.77277977996,88222928688.0339,359950,2450.97732151782
"PAN",0.74,19161.2188501596,2320694392.56237,21899.662,1059.69415992008
"PER",0.99,8452.37167056621,21221435986.5878,243855.6,870.245997491458
"PHL",NA,3984.8315387656,41926533969.6326,127226,3295.43756540586
"PNG",NA,3006.70564478923,5226329756.63461,14050,3719.80765596769
"POL",1.07,25103.565661423,23314255569.6602,145800,1599.05730930454
"PRK",0.58,NA,NA,25953,NA
"PRT",1.54,29292.242104753,6333313353.94844,39699.597,1595.30923045603
"PRY",1.04,6416.09708970845,4763686356.09391,214270,222.321666873287
"PSE",1.54,2592.30591217647,1.018e+09,3912,2602.24948875256
"QAT",0.4,76688.6941743178,629670329.67033,740,8509.05850905851
"ROU",1.16,20080.2096215595,10755545407.0981,127150,845.894251443028
"RUS",0.59,14889.0185546875,59640759949.5317,2157010,276.497373445333
"RWA",1.17,999.65456165547,3503163343.29495,18831.31,1860.28658829096
"SAU",0.24,35121.6628687742,31438133333.3333,1736374.17,181.056214014824
"SDN",0.95,984.607666015625,11018032471.1835,1126650,97.7946342802423
"SEN",1.14,1773.21829923448,5457427058.17107,95110,573.8016042657
"SGP",NA,90674.066632628,150198356.125017,6.6,227573.266856086
"SLE",1.08,806.654650417726,2032674948.33833,39490,514.73156453237
"SLV",0.83,5579.65969165029,1549130000,11957,1295.58417663293
"SOM",1.41,629.538899449007,575395413.513214,441292,13.0388815911735
"SRB",1.16,13679.2065983557,2858144527.15931,33960,841.620885500386
"SSD",NA,1080.14718624765,1242375561.84451,283472.333,43.8270482588687
"STP",NA,NA,102812741.047113,430,2390.99397783984
"SUR",NA,6961.78955961526,299019383.313117,714.32,4186.07043500276
"SVK",1.32,25992.6748502048,2230680072.80781,18250,1222.29045085359
"SVN",1.32,34301.0318686594,1121801847.80234,6112,1835.40878239912
"SWE",1.42,57117.4877440616,8586593659.10392,29820,2879.47473477663
"SWZ",0.77,3909.55892378182,314724986.839223,11950,263.368189823618
"SYR",NA,1051.67149587463,10171986461.0194,136060,747.610352860459
"TCD",0.78,961.55975562506,7358340364.99777,503373,146.180672483382
"TGO",0.71,1119.38160509429,2271771554.16813,38200,594.704595331971
"THA",0.71,7346.62022142185,45865619933.0314,223760,2049.76849897352
"TJK",0.71,1341.20229027672,2798877774.72964,38787,721.602025093366
"TKM",0.29,6856.65802730208,6252149800.62824,395782.392,157.969377289231
"TLS",NA,1331.9705130185,376116386.661186,3414,1101.68830304975
"TTO",0.54,18733.4110406494,199334175.095772,540,3691.37361288467
"TUN",0.73,4181.13789301228,4999063388.51576,97005,515.34079568226
"TUR",1.42,15892.7157287241,79106775252.7513,385880,2050.03563938922
"TZA",0.87,1186.71691894531,18385000013.8892,395212,465.193364925387
"UGA",0.94,1077.91278452817,13272545772.3208,144150,920.745457670538
"UKR",0.83,5389.47314453125,13563928924.9327,413110,328.336978648125
